               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094277,            0.045704,            0.028478,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0964,              0.0004,              0.0004
                   1,            0.086631,            0.043237,            0.018182,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.091897,          0.00089703,          0.00089703
                   2,            0.072371,            0.042006,            0.024218,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.087391,           0.0013908,           0.0013908
                   3,            0.059116,            0.035263,            0.011434,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.082881,           0.0018812,           0.0018812
                   4,            0.046905,            0.035016,           0.0091132,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.078368,           0.0023683,           0.0023683
                   5,             0.04243,             0.03343,           0.0071351,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.073852,           0.0028522,           0.0028522
                   6,            0.040777,            0.029896,           0.0078428,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.069333,           0.0033327,           0.0033327
                   7,             0.04023,            0.028059,           0.0071897,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.06481,           0.0038099,           0.0038099
                   8,            0.039771,            0.026791,           0.0072288,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.060284,           0.0042838,           0.0042838
                   9,            0.040363,            0.023704,           0.0077644,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.055754,           0.0047545,           0.0047545
                  10,            0.036316,            0.021482,           0.0046643,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.051222,           0.0052218,           0.0052218
                  11,            0.036672,            0.022857,           0.0044343,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.046686,           0.0056858,           0.0056858
                  12,            0.037392,            0.026445,           0.0046028,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.042147,           0.0061466,           0.0061466
                  13,            0.038216,            0.020364,           0.0040816,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.037604,            0.006604,            0.006604
                  14,            0.038197,            0.021888,           0.0069125,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.033058,           0.0070581,           0.0070581
                  15,            0.040269,             0.01893,           0.0044226,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.028509,           0.0075089,           0.0075089
                  16,             0.03748,            0.018199,           0.0070253,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.023956,           0.0079565,           0.0079565
                  17,            0.038172,            0.019459,            0.004933,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.019401,           0.0084007,           0.0084007
                  18,            0.037051,            0.018747,           0.0051494,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.014842,           0.0088416,           0.0088416
                  19,            0.038692,            0.020777,           0.0065515,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.010279,           0.0092793,           0.0092793
                  20,            0.038121,            0.018969,           0.0074017,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                  21,             0.03554,            0.017993,            0.010183,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.037357,             0.01782,           0.0054388,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.036941,            0.015195,           0.0049762,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.038081,            0.023892,           0.0068342,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.034664,            0.014764,             0.00521,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.033037,            0.017254,            0.012733,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.035053,            0.020653,           0.0060239,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009142,            0.009142,            0.009142
                  28,             0.03612,            0.015053,           0.0067656,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.032925,            0.015543,           0.0051259,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.034059,            0.014714,            0.005498,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.033107,            0.014902,           0.0067522,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  32,             0.03513,            0.012724,           0.0059791,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.033313,            0.011891,           0.0047691,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.032812,            0.012347,           0.0052689,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  35,             0.03294,            0.013077,           0.0045402,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.033871,             0.01165,           0.0054998,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.031721,            0.015238,           0.0049342,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.031896,            0.012345,           0.0054404,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.032491,            0.016471,           0.0058248,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.031738,            0.011027,           0.0047709,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.031378,            0.011174,           0.0054394,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.031798,             0.01356,           0.0051446,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008647,            0.008647,            0.008647
                  43,             0.02951,            0.012812,           0.0045272,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.031886,            0.013068,           0.0055608,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.033022,            0.011912,           0.0069678,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.030554,             0.01134,           0.0051379,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.030125,            0.011486,           0.0079858,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.031813,            0.012265,           0.0050648,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.029151,            0.011376,           0.0043105,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.028326,            0.010404,           0.0043091,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.031435,             0.01263,           0.0049624,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.031328,            0.010124,           0.0043026,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.030982,            0.014375,           0.0049859,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008284,            0.008284,            0.008284
                  54,             0.02961,            0.010639,            0.005324,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.026243,            0.010629,           0.0049238,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.026547,           0.0099182,           0.0048298,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.027043,            0.009807,           0.0037701,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.028373,           0.0098868,            0.004507,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.028608,             0.01354,           0.0051259,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.026716,           0.0096522,            0.004542,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.026091,           0.0095258,           0.0045325,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.026669,           0.0091968,           0.0050092,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.026579,             0.01124,           0.0042277,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.026002,            0.011271,           0.0040028,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.026253,           0.0095745,           0.0048531,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.026398,            0.011837,           0.0039746,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.025599,           0.0088869,           0.0061912,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  68,             0.02569,             0.01001,           0.0044977,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007789,            0.007789,            0.007789
                  69,             0.02632,           0.0098207,           0.0043901,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.026397,            0.010296,           0.0043675,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.025636,            0.008964,           0.0041717,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.024576,           0.0089237,           0.0041492,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007657,            0.007657,            0.007657
                  73,             0.02387,           0.0087926,           0.0045932,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.025129,           0.0095674,           0.0039396,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.024036,           0.0082533,           0.0038337,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.024876,           0.0093353,            0.004269,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  77,             0.02489,           0.0089749,             0.00456,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.025079,            0.009934,           0.0044459,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007459,            0.007459,            0.007459
