               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064859,           0.0075495,            0.021951,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070259,           0.0033046,           0.0033046
                   1,            0.041888,           0.0045755,           0.0051137,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.040249,           0.0066278,           0.0066278
                   2,            0.036763,           0.0036616,            0.004352,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.010228,           0.0099409,           0.0099409
                   3,            0.030312,           0.0032596,           0.0029896,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099543,           0.0099543,           0.0099543
                   4,            0.025617,           0.0029218,           0.0021018,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099543,           0.0099543,           0.0099543
                   5,             0.02308,           0.0026282,           0.0016524,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099391,           0.0099391,           0.0099391
                   6,            0.021456,            0.002375,           0.0014039,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099238,           0.0099238,           0.0099238
                   7,            0.020638,           0.0021712,           0.0012652,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099086,           0.0099086,           0.0099086
                   8,            0.019931,           0.0019646,           0.0011929,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098934,           0.0098934,           0.0098934
                   9,            0.019238,           0.0018245,           0.0011296,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098782,           0.0098782,           0.0098782
                  10,            0.018506,           0.0016794,           0.0010295,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098629,           0.0098629,           0.0098629
                  11,            0.017962,            0.001537,          0.00099689,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098477,           0.0098477,           0.0098477
                  12,            0.017346,           0.0014433,          0.00090315,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098325,           0.0098325,           0.0098325
                  13,             0.01707,           0.0013388,          0.00090759,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098172,           0.0098172,           0.0098172
                  14,            0.016932,           0.0012782,          0.00082136,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                  15,            0.016816,           0.0012181,          0.00085052,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097868,           0.0097868,           0.0097868
                  16,            0.016317,           0.0011359,          0.00078996,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097715,           0.0097715,           0.0097715
                  17,            0.016418,           0.0010955,          0.00076743,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097563,           0.0097563,           0.0097563
                  18,             0.01588,           0.0010391,           0.0007515,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097411,           0.0097411,           0.0097411
                  19,            0.015546,           0.0010093,          0.00074335,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097258,           0.0097258,           0.0097258
                  20,            0.015407,          0.00097719,          0.00073263,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097106,           0.0097106,           0.0097106
                  21,            0.015362,          0.00094615,          0.00069566,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0096954,           0.0096954,           0.0096954
                  22,            0.015451,          0.00092725,          0.00074521,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0096802,           0.0096802,           0.0096802
                  23,             0.01502,          0.00090721,          0.00068653,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0096649,           0.0096649,           0.0096649
                  24,            0.014675,          0.00086181,          0.00066351,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0096497,           0.0096497,           0.0096497
                  25,            0.014797,          0.00086805,          0.00067534,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0096345,           0.0096345,           0.0096345
                  26,            0.014803,          0.00084896,          0.00066801,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0096192,           0.0096192,           0.0096192
                  27,            0.014488,          0.00082181,          0.00068143,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                  28,             0.01431,          0.00079513,          0.00062661,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0095888,           0.0095888,           0.0095888
                  29,             0.01445,           0.0008054,          0.00069344,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0095735,           0.0095735,           0.0095735
                  30,             0.01409,          0.00077307,          0.00062984,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0095583,           0.0095583,           0.0095583
                  31,            0.013883,          0.00078005,          0.00061805,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0095431,           0.0095431,           0.0095431
                  32,             0.01398,          0.00076386,          0.00063837,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0095278,           0.0095278,           0.0095278
                  33,            0.013951,          0.00077034,          0.00063093,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0095126,           0.0095126,           0.0095126
                  34,            0.014036,          0.00074564,          0.00064951,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0094974,           0.0094974,           0.0094974
                  35,            0.014112,          0.00074924,          0.00061159,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0094822,           0.0094822,           0.0094822
                  36,            0.013812,          0.00073237,          0.00061987,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0094669,           0.0094669,           0.0094669
                  37,            0.013907,          0.00072612,          0.00062896,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0094517,           0.0094517,           0.0094517
                  38,            0.013755,          0.00073369,          0.00061238,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0094365,           0.0094365,           0.0094365
                  39,            0.013203,          0.00070577,          0.00057869,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0094212,           0.0094212,           0.0094212
                  40,            0.013231,          0.00071192,          0.00060695,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  41,            0.013139,          0.00068236,          0.00059691,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0093908,           0.0093908,           0.0093908
                  42,            0.012969,          0.00069489,          0.00059025,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0093755,           0.0093755,           0.0093755
                  43,            0.012969,          0.00067665,          0.00062263,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0093603,           0.0093603,           0.0093603
                  44,            0.012597,          0.00067608,          0.00057737,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0093451,           0.0093451,           0.0093451
                  45,            0.012871,          0.00068197,          0.00061894,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0093298,           0.0093298,           0.0093298
                  46,            0.012834,          0.00066384,          0.00061367,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0093146,           0.0093146,           0.0093146
                  47,            0.012956,          0.00068566,          0.00056016,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0092994,           0.0092994,           0.0092994
                  48,            0.012869,          0.00066297,          0.00059594,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0092842,           0.0092842,           0.0092842
                  49,            0.012469,          0.00064953,           0.0005828,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0092689,           0.0092689,           0.0092689
                  50,            0.012467,          0.00066063,          0.00057017,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0092537,           0.0092537,           0.0092537
                  51,            0.012092,          0.00063853,          0.00054837,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0092385,           0.0092385,           0.0092385
                  52,            0.012102,          0.00062501,          0.00057868,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0092232,           0.0092232,           0.0092232
                  53,            0.012339,          0.00063986,          0.00056267,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  54,            0.012143,           0.0006235,          0.00057473,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091928,           0.0091928,           0.0091928
                  55,            0.011898,          0.00062662,          0.00057212,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091775,           0.0091775,           0.0091775
                  56,            0.011894,          0.00061528,          0.00056537,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091623,           0.0091623,           0.0091623
                  57,            0.011803,          0.00061928,          0.00054455,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091471,           0.0091471,           0.0091471
                  58,            0.011915,          0.00062785,          0.00054523,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091318,           0.0091318,           0.0091318
                  59,             0.01165,          0.00061518,          0.00058857,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091166,           0.0091166,           0.0091166
                  60,            0.011748,          0.00060941,          0.00056937,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091014,           0.0091014,           0.0091014
                  61,            0.011853,          0.00060799,          0.00057307,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0090862,           0.0090862,           0.0090862
                  62,            0.012083,          0.00061159,          0.00055263,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0090709,           0.0090709,           0.0090709
                  63,            0.011694,          0.00060542,          0.00058536,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0090557,           0.0090557,           0.0090557
                  64,            0.012004,          0.00061083,          0.00056126,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0090405,           0.0090405,           0.0090405
                  65,             0.01152,          0.00060512,          0.00056864,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0090252,           0.0090252,           0.0090252
                  66,            0.011618,          0.00059764,            0.000559,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  67,            0.011391,          0.00059819,          0.00056084,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0089948,           0.0089948,           0.0089948
                  68,            0.011423,           0.0005883,           0.0005596,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0089795,           0.0089795,           0.0089795
                  69,            0.011545,          0.00059121,           0.0005684,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0089643,           0.0089643,           0.0089643
