   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
                   0,                   0,                   0,                   0,             0.22856,           0.0050056,            0.016525,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   3
             0.55916,                 0.4,             0.39931,            0.039931,             0.22835,            0.008887,           0.0079948,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
                   0,                   0,                   0,                   0,             0.22989,           0.0039912,             0.01054,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   3
            0.042495,                 0.6,             0.21957,            0.083068,             0.18671,            0.010566,           0.0084629,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.9,                   0,                   0,                   0,                 0.5,                   1,                 0.1,                 0.1,                   3
            0.033361,             0.53333,             0.13394,            0.084764,             0.19093,           0.0083704,           0.0057724,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,               0.015,                 0.7,                 0.4,                  30,                 0.1,                 0.9,                 0.4,              0.0005,                0.25,                0.25,                   1,                 0.1,                   0,                   3
            0.049956,             0.53333,               0.182,            0.056981,             0.19488,            0.009004,            0.014902,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,             0.01041,             0.54703,             0.27739,                   0,             0.04591,             0.75544,                   0,                   0,                   0,                 0.5,             0.85834,             0.04266,                   0,                   3
           0.0055556,            0.066667,           0.0063125,          0.00063125,             0.21956,           0.0059823,            0.010904,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,              0.0188,               0.704,                0.36,                   0,              0.0902,               0.491,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
                   0,                   0,                   0,                   0,             0.21645,           0.0072515,           0.0064013,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.063658,             0.80039,             0.20834,              28.949,             0.24096,              0.1178,              6.1113,          0.00021145,             0.57592,             0.74199,             0.45974,             0.70256,             0.22224,                   3
           0.0055556,            0.066667,           0.0040068,            0.001202,             0.20061,            0.010246,           0.0069443,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.035085,            0.047927,            0.058481,              1.6383,             0.12861,             0.65431,              3.6404,          0.00023613,             0.91739,             0.33189,             0.14248,             0.81547,             0.57291,                   3
             0.65381,             0.26667,             0.38958,               0.258,             0.18085,           0.0060981,            0.004355,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.087549,            0.019943,             0.30123,              42.915,              0.2351,             0.43072,              3.5704,          0.00023373,             0.84723,             0.44325,            0.072714,             0.48538,             0.85347,                   3
