               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.05581,           0.0052312,             0.01542,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.07013,           0.0033189,           0.0033189
                   1,            0.033449,           0.0031261,           0.0066177,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.040121,            0.006643,            0.006643
                   2,            0.032115,             0.00253,           0.0045105,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.010102,           0.0099579,           0.0099579
                   3,             0.02952,           0.0023036,           0.0028248,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099585,           0.0099585,           0.0099585
                   4,            0.024649,           0.0021609,           0.0020872,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099585,           0.0099585,           0.0099585
                   5,            0.021709,           0.0020141,           0.0014768,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099446,           0.0099446,           0.0099446
                   6,            0.020336,           0.0018679,           0.0013456,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099308,           0.0099308,           0.0099308
                   7,            0.018981,           0.0017288,           0.0011082,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099169,           0.0099169,           0.0099169
                   8,            0.018119,           0.0015958,          0.00099294,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099031,           0.0099031,           0.0099031
                   9,            0.017889,           0.0014733,           0.0010101,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098892,           0.0098892,           0.0098892
                  10,            0.017377,           0.0013803,          0.00095732,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098754,           0.0098754,           0.0098754
                  11,            0.017177,           0.0013153,          0.00090429,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098615,           0.0098615,           0.0098615
                  12,            0.016757,           0.0012545,          0.00084512,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098477,           0.0098477,           0.0098477
                  13,            0.016359,           0.0011827,          0.00089427,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098338,           0.0098338,           0.0098338
                  14,            0.016205,           0.0011188,          0.00077251,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00982,             0.00982,             0.00982
                  15,            0.016119,           0.0010867,          0.00076896,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098062,           0.0098062,           0.0098062
                  16,            0.015511,           0.0010028,          0.00076739,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097923,           0.0097923,           0.0097923
                  17,            0.015343,          0.00096688,          0.00071459,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097785,           0.0097785,           0.0097785
                  18,            0.015039,          0.00092447,          0.00067707,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097646,           0.0097646,           0.0097646
                  19,            0.014998,          0.00089448,          0.00070933,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097508,           0.0097508,           0.0097508
                  20,            0.014512,          0.00085678,          0.00064648,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097369,           0.0097369,           0.0097369
                  21,            0.014882,          0.00085002,          0.00077223,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097231,           0.0097231,           0.0097231
                  22,            0.015008,          0.00080781,           0.0007418,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0097092,           0.0097092,           0.0097092
                  23,            0.014383,          0.00079216,           0.0006657,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0096954,           0.0096954,           0.0096954
                  24,            0.014081,          0.00076527,          0.00063717,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0096815,           0.0096815,           0.0096815
                  25,            0.013818,          0.00072498,          0.00063904,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0096677,           0.0096677,           0.0096677
                  26,            0.013925,          0.00072119,          0.00062405,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0096538,           0.0096538,           0.0096538
                  27,            0.013749,          0.00069655,          0.00062628,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00964,             0.00964,             0.00964
                  28,            0.013979,          0.00069698,          0.00065793,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0096262,           0.0096262,           0.0096262
                  29,            0.014342,          0.00070376,          0.00065728,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0096123,           0.0096123,           0.0096123
                  30,            0.013767,          0.00068249,          0.00065948,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0095985,           0.0095985,           0.0095985
                  31,            0.013291,          0.00066015,          0.00059513,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0095846,           0.0095846,           0.0095846
                  32,            0.013081,          0.00063784,           0.0006031,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0095708,           0.0095708,           0.0095708
                  33,            0.013406,          0.00063218,           0.0006074,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0095569,           0.0095569,           0.0095569
                  34,            0.013617,          0.00062089,          0.00056868,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0095431,           0.0095431,           0.0095431
                  35,            0.013137,          0.00061555,          0.00055808,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0095292,           0.0095292,           0.0095292
                  36,            0.012813,          0.00061767,          0.00058714,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0095154,           0.0095154,           0.0095154
                  37,             0.01249,          0.00059315,          0.00053778,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0095015,           0.0095015,           0.0095015
                  38,            0.012854,          0.00059601,           0.0005691,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0094877,           0.0094877,           0.0094877
                  39,            0.012904,          0.00060041,          0.00056257,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0094738,           0.0094738,           0.0094738
                  40,            0.012676,          0.00058434,          0.00054981,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00946,             0.00946,             0.00946
                  41,            0.012507,          0.00057787,          0.00056469,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0094462,           0.0094462,           0.0094462
                  42,            0.012679,           0.0005761,          0.00054013,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0094323,           0.0094323,           0.0094323
                  43,            0.012399,          0.00057439,          0.00053138,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0094185,           0.0094185,           0.0094185
                  44,            0.012601,          0.00056434,          0.00056587,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0094046,           0.0094046,           0.0094046
                  45,             0.01258,          0.00057112,          0.00059503,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0093908,           0.0093908,           0.0093908
                  46,            0.012274,          0.00055367,           0.0005489,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0093769,           0.0093769,           0.0093769
                  47,            0.012417,          0.00056094,          0.00064603,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0093631,           0.0093631,           0.0093631
                  48,            0.012185,          0.00056133,          0.00054156,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0093492,           0.0093492,           0.0093492
                  49,            0.012407,          0.00056002,          0.00054498,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0093354,           0.0093354,           0.0093354
                  50,            0.012169,          0.00054944,          0.00055047,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0093215,           0.0093215,           0.0093215
                  51,            0.011675,           0.0005334,          0.00055008,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0093077,           0.0093077,           0.0093077
                  52,            0.011704,          0.00052377,           0.0005371,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0092938,           0.0092938,           0.0092938
                  53,            0.011632,           0.0005119,          0.00053195,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00928,             0.00928,             0.00928
                  54,            0.011343,          0.00050847,          0.00050031,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0092662,           0.0092662,           0.0092662
                  55,            0.011435,          0.00050883,          0.00054589,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0092523,           0.0092523,           0.0092523
                  56,            0.011698,           0.0005119,          0.00052953,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0092385,           0.0092385,           0.0092385
                  57,             0.01251,          0.00052616,          0.00057602,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0092246,           0.0092246,           0.0092246
