               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096235,            0.031107,             0.03803,                   0,                   0,                   0,                   0,            0.043308,            0.011806,            0.014255,              0.0838,              0.0018,              0.0018
                   1,             0.07036,            0.028895,            0.027605,           0.0033288,                 0.8,           0.0045228,           0.0022131,            0.032194,           0.0095304,            0.011728,            0.066471,           0.0034711,           0.0034711
                   2,            0.061302,            0.022106,            0.017965,           0.0019249,                 0.4,           0.0021864,          0.00056751,            0.035501,            0.006731,            0.010822,            0.048907,            0.004907,            0.004907
                   3,            0.061794,            0.019303,             0.01293,           0.0018034,                 0.4,           0.0023821,          0.00074358,              0.0276,           0.0059561,            0.010519,            0.031108,           0.0061078,           0.0061078
                   4,            0.062577,            0.017304,           0.0093954,           0.0041736,                 0.5,            0.005596,           0.0016171,            0.031716,           0.0034411,            0.012488,            0.013074,           0.0070735,           0.0070735
                   5,            0.061215,            0.014677,           0.0078444,           0.0080273,                   1,            0.017663,           0.0087323,            0.035689,           0.0023419,           0.0096497,           0.0069063,           0.0069063,           0.0069063
                   6,            0.055412,            0.014288,           0.0069713,           0.0081654,                   1,            0.013181,           0.0054101,            0.037898,           0.0020286,            0.010144,           0.0069063,           0.0069063,           0.0069063
                   7,            0.047029,             0.01272,           0.0053071,           0.0016779,                 0.2,           0.0012209,          0.00017429,            0.029893,             0.00369,           0.0092697,           0.0062875,           0.0062875,           0.0062875
                   8,            0.045407,            0.011281,           0.0044568,          0.00063939,                 0.1,          0.00041274,          0.00012354,            0.030504,            0.003066,            0.010345,           0.0056688,           0.0056688,           0.0056688
                   9,            0.040049,             0.01077,           0.0052025,           0.0013605,                 0.2,           0.0010677,          0.00038537,            0.033279,           0.0028654,           0.0086609,             0.00505,             0.00505,             0.00505
                  10,            0.036495,           0.0090793,           0.0040891,          0.00076805,                 0.1,           0.0014066,          0.00042197,            0.035401,           0.0022531,           0.0086792,           0.0044313,           0.0044313,           0.0044313
                  11,            0.035721,           0.0090444,           0.0033354,           0.0014556,                 0.2,           0.0010816,          0.00040458,            0.035537,           0.0019995,           0.0076996,           0.0038125,           0.0038125,           0.0038125
                  12,            0.030706,           0.0096825,           0.0028301,           0.0008547,                 0.1,           0.0014541,          0.00046235,            0.037274,           0.0016632,           0.0077225,           0.0031938,           0.0031938,           0.0031938
                  13,            0.029088,           0.0087967,           0.0029424,            0.001355,                 0.1,           0.0016695,          0.00061914,            0.036603,           0.0016346,           0.0071045,            0.002575,            0.002575,            0.002575
                  14,            0.025776,           0.0083324,           0.0020346,           0.0034722,                 0.1,           0.0036737,          0.00073474,            0.034592,           0.0017829,           0.0079056,           0.0019563,           0.0019563,           0.0019563
                  15,            0.024939,            0.007972,           0.0022837,           0.0082645,                 0.2,           0.0082974,           0.0013116,            0.033012,            0.001982,           0.0084961,           0.0013375,           0.0013375,           0.0013375
