               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071519,            0.020581,              0.0287,           0.0041597,                 0.5,           0.0099413,           0.0067055,            0.033845,            0.005539,            0.012112,            0.070213,           0.0033097,           0.0033097
                   1,            0.052655,            0.013346,            0.008087,           0.0041813,                 0.9,            0.007507,            0.003838,            0.028044,           0.0050259,            0.010519,            0.040203,           0.0066329,           0.0066329
                   2,            0.048044,            0.010602,           0.0055377,           0.0060096,                 0.5,            0.016161,            0.014495,            0.021981,           0.0060002,           0.0087067,            0.010182,            0.009946,            0.009946
                   3,            0.040412,           0.0087064,           0.0044962,            0.021881,                   1,            0.045467,            0.045023,            0.023796,           0.0058227,            0.010721,           0.0099543,           0.0099543,           0.0099543
                   4,             0.03405,           0.0077892,           0.0035582,                   0,                   0,                   0,                   0,            0.025159,            0.007548,           0.0096863,           0.0099543,           0.0099543,           0.0099543
                   5,            0.030783,           0.0072042,           0.0028095,            0.078947,                 0.3,             0.06489,            0.031226,            0.021336,           0.0068782,            0.012305,           0.0099391,           0.0099391,           0.0099391
                   6,            0.029463,           0.0069527,           0.0024571,              0.0625,                 0.1,              0.0375,             0.00375,            0.019793,           0.0091729,            0.012891,           0.0099238,           0.0099238,           0.0099238
                   7,            0.027226,           0.0065331,           0.0021803,            0.017241,                 0.1,             0.01917,            0.013419,            0.022514,           0.0077326,            0.017606,           0.0099086,           0.0099086,           0.0099086
                   8,            0.026027,           0.0063839,           0.0019731,             0.17857,                 0.5,             0.29595,             0.16306,            0.022847,           0.0062008,            0.016351,           0.0098934,           0.0098934,           0.0098934
                   9,            0.025324,           0.0061983,           0.0016502,                   0,                   0,                   0,                   0,            0.021902,            0.011604,            0.012607,           0.0098782,           0.0098782,           0.0098782
                  10,            0.023677,           0.0059935,           0.0016738,                   0,                   0,                   0,                   0,            0.021831,           0.0096061,            0.013889,           0.0098629,           0.0098629,           0.0098629
                  11,            0.023328,           0.0059354,           0.0013656,                   0,                   0,                   0,                   0,            0.019329,            0.010904,            0.014081,           0.0098477,           0.0098477,           0.0098477
                  12,            0.022847,           0.0058747,           0.0013757,                   0,                   0,                   0,                   0,            0.021175,           0.0084164,            0.013586,           0.0098325,           0.0098325,           0.0098325
                  13,            0.021728,           0.0057349,           0.0012364,                   0,                   0,                   0,                   0,            0.020469,           0.0087741,            0.014612,           0.0098172,           0.0098172,           0.0098172
                  14,            0.020689,           0.0053963,           0.0013565,                 0.1,                 0.1,               0.138,              0.1242,            0.018593,           0.0084559,            0.016141,            0.009802,            0.009802,            0.009802
                  15,             0.02124,           0.0055246,           0.0010882,                   0,                   0,                   0,                   0,            0.019083,           0.0091805,             0.02829,           0.0097868,           0.0097868,           0.0097868
                  16,            0.019323,           0.0053311,           0.0010819,                   0,                   0,                   0,                   0,            0.017103,             0.01005,            0.027594,           0.0097715,           0.0097715,           0.0097715
                  17,            0.019424,           0.0053267,            0.001165,                   0,                   0,                   0,                   0,            0.019642,           0.0080781,            0.046399,           0.0097563,           0.0097563,           0.0097563
                  18,            0.018789,           0.0053239,           0.0012005,                   0,                   0,                   0,                   0,            0.019388,           0.0089353,            0.046326,           0.0097411,           0.0097411,           0.0097411
                  19,            0.018747,           0.0051081,           0.0011206,                   0,                   0,                   0,                   0,             0.02157,            0.010463,             0.03642,           0.0097258,           0.0097258,           0.0097258
                  20,             0.01828,           0.0051626,           0.0010896,                   0,                   0,                   0,                   0,            0.019249,           0.0099281,            0.041931,           0.0097106,           0.0097106,           0.0097106
                  21,            0.017809,           0.0051696,           0.0010701,                   0,                   0,                   0,                   0,            0.021881,           0.0061471,            0.062036,           0.0096954,           0.0096954,           0.0096954
                  22,            0.017458,           0.0049414,          0.00097852,                   0,                   0,                   0,                   0,            0.014813,            0.009638,            0.055554,           0.0096802,           0.0096802,           0.0096802
                  23,             0.01809,           0.0051104,          0.00088924,                   0,                   0,                   0,                   0,            0.014132,            0.013564,            0.066797,           0.0096649,           0.0096649,           0.0096649
                  24,            0.016896,           0.0049368,          0.00097956,                   0,                   0,                   0,                   0,            0.016034,           0.0087355,            0.077124,           0.0096497,           0.0096497,           0.0096497
                  25,            0.016827,           0.0048728,          0.00084913,                   0,                   0,                   0,                   0,            0.019192,           0.0089163,            0.068481,           0.0096345,           0.0096345,           0.0096345
                  26,            0.016567,           0.0047293,          0.00083981,                   0,                   0,                   0,                   0,            0.014794,           0.0093479,            0.077417,           0.0096192,           0.0096192,           0.0096192
                  27,            0.016433,           0.0048671,          0.00084275,                   0,                   0,                   0,                   0,            0.017415,            0.014222,            0.073206,            0.009604,            0.009604,            0.009604
                  28,            0.016295,           0.0048072,          0.00071644,                   0,                   0,                   0,                   0,            0.022554,            0.010985,            0.073499,           0.0095888,           0.0095888,           0.0095888
                  29,            0.016089,           0.0046995,          0.00090925,                   0,                   0,                   0,                   0,            0.024993,            0.012468,             0.05592,           0.0095735,           0.0095735,           0.0095735
                  30,            0.015578,           0.0046737,          0.00088894,                   0,                   0,                   0,                   0,            0.023375,            0.012391,            0.063062,           0.0095583,           0.0095583,           0.0095583
                  31,            0.015859,           0.0046357,           0.0008215,                   0,                   0,                   0,                   0,            0.021391,             0.01074,            0.040796,           0.0095431,           0.0095431,           0.0095431
                  32,            0.015466,           0.0047641,          0.00085592,                   0,                   0,                   0,                   0,            0.024106,            0.010321,            0.050281,           0.0095278,           0.0095278,           0.0095278
                  33,            0.015348,           0.0046831,          0.00089405,                   0,                   0,                   0,                   0,            0.021032,            0.013049,            0.089648,           0.0095126,           0.0095126,           0.0095126
                  34,            0.015767,           0.0046068,          0.00073155,                   0,                   0,                   0,                   0,            0.019563,            0.013255,            0.057019,           0.0094974,           0.0094974,           0.0094974
                  35,            0.014802,           0.0044868,          0.00062202,                   0,                   0,                   0,                   0,            0.020256,            0.013171,            0.062292,           0.0094822,           0.0094822,           0.0094822
                  36,            0.015041,           0.0046314,           0.0006579,                   0,                   0,                   0,                   0,            0.021447,            0.013345,            0.066248,           0.0094669,           0.0094669,           0.0094669
                  37,             0.01522,           0.0045913,          0.00063184,                   0,                   0,                   0,                   0,            0.021177,            0.010173,            0.077344,           0.0094517,           0.0094517,           0.0094517
                  38,            0.014361,           0.0043873,          0.00074171,                   0,                   0,                   0,                   0,             0.01821,            0.012068,            0.058044,           0.0094365,           0.0094365,           0.0094365
                  39,            0.015188,            0.004622,          0.00062838,                   0,                   0,                   0,                   0,            0.013811,           0.0094769,            0.086353,           0.0094212,           0.0094212,           0.0094212
                  40,            0.014104,           0.0043768,          0.00063626,                   0,                   0,                   0,                   0,            0.016658,            0.012004,            0.079541,            0.009406,            0.009406,            0.009406
                  41,            0.014533,           0.0044649,          0.00070263,                   0,                   0,                   0,                   0,            0.015061,            0.011894,             0.08877,           0.0093908,           0.0093908,           0.0093908
                  42,            0.014379,           0.0043766,          0.00063986,                   0,                   0,                   0,                   0,            0.014403,            0.012894,            0.081592,           0.0093755,           0.0093755,           0.0093755
                  43,            0.014305,           0.0043981,          0.00063423,                   0,                   0,                   0,                   0,            0.013155,            0.012604,             0.09397,           0.0093603,           0.0093603,           0.0093603
                  44,            0.013987,           0.0043558,          0.00065669,                   0,                   0,                   0,                   0,            0.019748,            0.013835,            0.084375,           0.0093451,           0.0093451,           0.0093451
                  45,            0.013535,           0.0042316,          0.00058868,                   0,                   0,                   0,                   0,            0.017372,            0.011778,             0.10481,           0.0093298,           0.0093298,           0.0093298
                  46,             0.01413,            0.004342,          0.00057195,                   0,                   0,                   0,                   0,            0.023897,             0.01027,            0.083276,           0.0093146,           0.0093146,           0.0093146
                  47,            0.014025,           0.0043614,           0.0006721,                   0,                   0,                   0,                   0,            0.025503,             0.01274,            0.074597,           0.0092994,           0.0092994,           0.0092994
                  48,            0.013529,           0.0042802,          0.00055716,                   0,                   0,                   0,                   0,            0.023312,            0.014982,            0.030597,           0.0092842,           0.0092842,           0.0092842
                  49,            0.013395,           0.0042666,          0.00055714,                   0,                   0,                   0,                   0,            0.018964,            0.015692,            0.070825,           0.0092689,           0.0092689,           0.0092689
                  50,             0.01328,           0.0042521,          0.00057981,                   0,                   0,                   0,                   0,            0.020601,             0.01613,            0.059802,           0.0092537,           0.0092537,           0.0092537
                  51,            0.013186,           0.0040705,          0.00049898,                   0,                   0,                   0,                   0,            0.023704,            0.013899,            0.032813,           0.0092385,           0.0092385,           0.0092385
                  52,            0.012882,           0.0040461,          0.00071328,                   0,                   0,                   0,                   0,            0.024497,            0.011946,            0.058521,           0.0092232,           0.0092232,           0.0092232
                  53,            0.013227,           0.0043431,          0.00086826,                   0,                   0,                   0,                   0,            0.022347,            0.014828,            0.026019,            0.009208,            0.009208,            0.009208
                  54,            0.013468,           0.0042286,          0.00057672,                   0,                   0,                   0,                   0,            0.024432,            0.014737,            0.017422,           0.0091928,           0.0091928,           0.0091928
                  55,            0.013126,           0.0042003,          0.00062865,                   0,                   0,                   0,                   0,            0.023272,            0.014725,            0.036951,           0.0091775,           0.0091775,           0.0091775
                  56,            0.013666,           0.0042223,           0.0004757,                   0,                   0,                   0,                   0,            0.021835,            0.012829,            0.035687,           0.0091623,           0.0091623,           0.0091623
                  57,            0.013206,           0.0041159,          0.00053735,                   0,                   0,                   0,                   0,            0.019205,            0.014609,            0.043433,           0.0091471,           0.0091471,           0.0091471
                  58,            0.013318,           0.0042044,          0.00053665,                   0,                   0,                   0,                   0,            0.018138,               0.018,            0.021753,           0.0091318,           0.0091318,           0.0091318
                  59,            0.012894,           0.0041017,          0.00062081,                   0,                   0,                   0,                   0,            0.016761,            0.015898,             0.04054,           0.0091166,           0.0091166,           0.0091166
                  60,            0.012919,           0.0041351,          0.00055129,                   0,                   0,                   0,                   0,            0.017392,            0.015668,            0.061633,           0.0091014,           0.0091014,           0.0091014
                  61,            0.012793,           0.0041034,          0.00053689,                   0,                   0,                   0,                   0,            0.016838,            0.017716,            0.046692,           0.0090862,           0.0090862,           0.0090862
                  62,            0.012623,           0.0039953,          0.00041971,                   0,                   0,                   0,                   0,            0.018542,            0.012855,               0.075,           0.0090709,           0.0090709,           0.0090709
                  63,            0.012699,           0.0040523,          0.00048596,                   0,                   0,                   0,                   0,            0.023588,            0.011398,            0.065771,           0.0090557,           0.0090557,           0.0090557
                  64,            0.012679,           0.0040292,          0.00050554,                   0,                   0,                   0,                   0,              0.0209,            0.014325,            0.061047,           0.0090405,           0.0090405,           0.0090405
                  65,            0.012601,           0.0039822,          0.00047797,                   0,                   0,                   0,                   0,            0.021942,            0.013448,            0.060425,           0.0090252,           0.0090252,           0.0090252
                  66,            0.012357,           0.0040254,          0.00043827,                   0,                   0,                   0,                   0,            0.022513,            0.013693,            0.052258,             0.00901,             0.00901,             0.00901
                  67,            0.012624,           0.0038397,            0.000536,                   0,                   0,                   0,                   0,            0.018339,            0.014725,            0.059912,           0.0089948,           0.0089948,           0.0089948
                  68,            0.012513,           0.0040942,          0.00056256,                   0,                   0,                   0,                   0,            0.015959,            0.016865,            0.048999,           0.0089795,           0.0089795,           0.0089795
                  69,             0.01232,           0.0039868,          0.00044887,                   0,                   0,                   0,                   0,            0.016168,            0.017845,            0.046472,           0.0089643,           0.0089643,           0.0089643
