               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.020509,           0.0015275,          0.00066265,             0.66667,             0.18242,                0.63,             0.48715,            0.035449,           0.0050205,          0.00036907,              0.0757,              0.0027,              0.0027
                   1,            0.019748,           0.0010362,           0.0007476,             0.66667,             0.17334,             0.62048,             0.49167,            0.035049,           0.0048698,          0.00041199,            0.050391,           0.0053911,           0.0053911
                   2,            0.017722,          0.00098548,          0.00063172,             0.66667,             0.17073,             0.40586,              0.2518,             0.03532,           0.0045177,            0.000737,            0.024971,           0.0079713,           0.0079713
                   3,            0.016989,          0.00092932,           0.0008633,             0.10294,             0.66667,               0.239,               0.239,            0.034895,           0.0050378,          0.00079422,            0.009406,            0.009406,            0.009406
                   4,            0.017079,          0.00087602,          0.00089589,             0.10624,             0.66667,             0.24542,              0.2117,            0.034675,            0.004651,           0.0015289,            0.009406,            0.009406,            0.009406
                   5,            0.016926,          0.00087354,          0.00082362,             0.13333,             0.66667,             0.32597,             0.21183,            0.036035,            0.003961,          0.00076332,            0.009208,            0.009208,            0.009208
                   6,            0.016609,           0.0008289,           0.0010456,            0.058824,                 0.2,             0.11549,             0.10481,            0.035797,           0.0047176,           0.0010986,             0.00901,             0.00901,             0.00901
                   7,            0.016783,          0.00084238,          0.00082014,            0.047619,             0.13333,            0.098571,            0.098571,            0.035905,           0.0046839,           0.0017132,            0.008812,            0.008812,            0.008812
                   8,            0.016507,          0.00082339,          0.00087774,             0.22345,             0.13333,             0.17244,             0.14953,            0.036393,            0.004515,          0.00086575,            0.008614,            0.008614,            0.008614
                   9,            0.016691,          0.00083435,          0.00084834,            0.083333,             0.26667,             0.18565,             0.13963,            0.035275,           0.0047081,          0.00075817,            0.008416,            0.008416,            0.008416
                  10,            0.016231,          0.00081143,          0.00081188,            0.055556,             0.13333,            0.098611,            0.098611,            0.037172,           0.0049609,            0.001553,            0.008218,            0.008218,            0.008218
                  11,            0.016346,          0.00083829,          0.00090018,             0.10855,             0.66667,             0.26483,             0.20382,            0.035297,           0.0040621,          0.00074444,             0.00802,             0.00802,             0.00802
                  12,            0.016119,          0.00082367,          0.00078033,             0.11765,             0.66667,             0.22986,             0.16733,            0.035922,           0.0042389,          0.00082169,            0.007822,            0.007822,            0.007822
                  13,            0.015802,          0.00082949,          0.00088285,             0.11866,             0.66667,             0.27293,             0.26088,            0.035945,           0.0038217,          0.00097504,            0.007624,            0.007624,            0.007624
                  14,            0.015789,          0.00083397,           0.0008487,             0.12269,             0.66667,             0.25931,             0.22653,            0.035779,           0.0039603,          0.00093269,            0.007426,            0.007426,            0.007426
                  15,            0.015364,          0.00081154,           0.0007444,             0.10417,             0.33333,             0.23167,             0.20461,             0.03517,            0.004162,          0.00057106,            0.007228,            0.007228,            0.007228
                  16,            0.015614,          0.00079371,          0.00081156,            0.098039,             0.33333,             0.21152,             0.17281,            0.035778,           0.0042431,          0.00065632,             0.00703,             0.00703,             0.00703
                  17,             0.01525,          0.00080164,          0.00078496,            0.071429,                 0.2,             0.16631,            0.060793,            0.037212,           0.0041693,          0.00068665,            0.006832,            0.006832,            0.006832
                  18,              0.0152,          0.00080795,          0.00074732,             0.66667,             0.16851,             0.33682,              0.1436,            0.036628,           0.0035476,          0.00051928,            0.006634,            0.006634,            0.006634
                  19,            0.015084,          0.00078716,          0.00077386,            0.098039,             0.33333,             0.21315,             0.13518,            0.036319,           0.0038931,          0.00059567,            0.006436,            0.006436,            0.006436
                  20,            0.015082,          0.00080142,          0.00069686,             0.66667,             0.13181,              0.2406,             0.19248,            0.035989,           0.0039764,          0.00055532,            0.006238,            0.006238,            0.006238
                  21,            0.014788,          0.00081249,           0.0006633,            0.051282,             0.13333,            0.099689,            0.071749,            0.035515,           0.0050343,          0.00072269,             0.00604,             0.00604,             0.00604
                  22,            0.014805,          0.00079912,          0.00064751,            0.047619,             0.13333,             0.09619,            0.057714,            0.036001,             0.00514,           0.0007061,            0.005842,            0.005842,            0.005842
                  23,             0.01457,          0.00078106,          0.00065832,             0.66667,             0.17845,             0.33983,             0.19384,            0.036367,           0.0035072,          0.00047493,            0.005644,            0.005644,            0.005644
                  24,            0.014219,           0.0007634,          0.00073245,             0.33333,             0.19619,             0.32755,             0.22166,            0.035297,           0.0038662,          0.00049438,            0.005446,            0.005446,            0.005446
                  25,            0.014212,          0.00080968,          0.00073095,            0.066667,                 0.2,             0.16756,             0.12825,            0.036103,           0.0046841,          0.00068092,            0.005248,            0.005248,            0.005248
                  26,            0.014093,          0.00077803,          0.00067476,            0.092262,             0.53333,              0.1463,             0.13907,            0.035995,           0.0050274,          0.00071869,             0.00505,             0.00505,             0.00505
