               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.020565,           0.0015292,          0.00072348,             0.66667,             0.18346,             0.62697,             0.62697,             0.03389,           0.0054879,          0.00037336,              0.0757,              0.0027,              0.0027
                   1,            0.019386,           0.0010273,           0.0006214,             0.66667,              0.1755,             0.62697,             0.46186,            0.035541,           0.0047813,          0.00045862,            0.050391,           0.0053911,           0.0053911
                   2,             0.01797,          0.00098259,          0.00062352,             0.66667,             0.17098,             0.37822,             0.28364,            0.034774,           0.0046857,          0.00050812,            0.024971,           0.0079713,           0.0079713
                   3,             0.01674,          0.00092557,          0.00088045,            0.077579,                 0.6,             0.19282,             0.19282,            0.034215,           0.0056443,          0.00056963,            0.009406,            0.009406,            0.009406
                   4,            0.017028,          0.00085736,          0.00097167,             0.66667,             0.17894,             0.26976,             0.24834,            0.035903,            0.004221,          0.00052357,            0.009406,            0.009406,            0.009406
                   5,            0.016896,          0.00084447,          0.00084207,             0.11111,             0.33333,             0.22214,             0.22214,            0.036022,           0.0045803,          0.00049524,            0.009208,            0.009208,            0.009208
                   6,            0.016651,          0.00082388,          0.00091481,             0.66667,             0.19777,             0.32968,             0.25375,            0.034108,           0.0041764,          0.00046206,             0.00901,             0.00901,             0.00901
                   7,            0.016537,          0.00083238,          0.00081545,            0.083333,             0.26667,             0.17931,              0.1066,            0.036299,           0.0044286,          0.00068321,            0.008812,            0.008812,            0.008812
                   8,            0.016388,          0.00084629,          0.00086383,             0.66667,             0.22237,             0.37312,             0.32188,            0.034817,           0.0037729,           0.0004981,            0.008614,            0.008614,            0.008614
                   9,            0.016329,          0.00082127,          0.00094499,             0.10256,             0.26667,              0.2054,              0.2054,            0.035054,            0.004798,          0.00071182,            0.008416,            0.008416,            0.008416
                  10,            0.016499,          0.00084849,          0.00076177,            0.055556,             0.13333,             0.14861,             0.14861,            0.035123,           0.0048778,          0.00083714,            0.008218,            0.008218,            0.008218
                  11,             0.01603,          0.00079854,          0.00095793,            0.074074,             0.26667,             0.18389,             0.17647,              0.0358,            0.004627,          0.00058937,             0.00802,             0.00802,             0.00802
                  12,            0.015949,          0.00082505,          0.00086958,             0.13988,             0.66667,             0.30102,             0.28452,            0.035336,           0.0039084,          0.00084801,            0.007822,            0.007822,            0.007822
                  13,            0.015937,           0.0008016,          0.00078311,             0.66667,             0.19587,              0.4975,             0.31844,            0.036213,           0.0029739,          0.00058165,            0.007624,            0.007624,            0.007624
                  14,            0.015903,          0.00081736,          0.00077352,             0.23434,             0.13333,             0.27857,             0.26959,            0.035814,            0.003641,          0.00080624,            0.007426,            0.007426,            0.007426
                  15,             0.01579,          0.00082523,          0.00081517,             0.10404,                 0.6,             0.23531,             0.20025,            0.036441,           0.0040128,          0.00072041,            0.007228,            0.007228,            0.007228
                  16,            0.015443,          0.00083899,          0.00069662,             0.11111,                 0.6,             0.24025,             0.16865,            0.035947,           0.0040418,          0.00058994,             0.00703,             0.00703,             0.00703
                  17,             0.01519,          0.00082472,           0.0008513,             0.12185,             0.66667,             0.25416,             0.20472,            0.035509,           0.0042323,          0.00065117,            0.006832,            0.006832,            0.006832
                  18,            0.014976,          0.00082002,          0.00080008,            0.079012,             0.53333,             0.14023,             0.12956,            0.035161,           0.0048338,          0.00074272,            0.006634,            0.006634,            0.006634
                  19,            0.015116,          0.00079285,          0.00071802,             0.13609,             0.18579,              0.2099,             0.17884,            0.036015,           0.0045155,          0.00084171,            0.006436,            0.006436,            0.006436
                  20,            0.015189,          0.00079632,          0.00079883,             0.58148,             0.13333,             0.27602,             0.20705,            0.036564,           0.0036959,          0.00095215,            0.006238,            0.006238,            0.006238
                  21,            0.015231,          0.00080598,          0.00083801,            0.090476,             0.53333,             0.20679,             0.13072,            0.036863,           0.0041602,           0.0010906,             0.00604,             0.00604,             0.00604
                  22,            0.014806,          0.00079413,          0.00080303,             0.66667,             0.17803,              0.3352,             0.28931,            0.035239,           0.0038056,          0.00045919,            0.005842,            0.005842,            0.005842
                  23,            0.014658,          0.00080087,          0.00075229,            0.083333,             0.26667,             0.17851,             0.16381,            0.035744,           0.0048035,          0.00053129,            0.005644,            0.005644,            0.005644
                  24,            0.014343,          0.00080071,          0.00064866,            0.083333,             0.53333,             0.16777,             0.15675,              0.0352,           0.0047056,          0.00090923,            0.005446,            0.005446,            0.005446
                  25,            0.014647,            0.000828,          0.00071158,             0.12004,             0.66667,             0.24153,             0.22568,            0.034836,           0.0044696,          0.00062428,            0.005248,            0.005248,            0.005248
                  26,            0.014272,          0.00080173,          0.00067822,            0.065163,             0.46667,            0.078659,            0.077218,            0.035869,            0.005405,          0.00096073,             0.00505,             0.00505,             0.00505
                  27,            0.014311,          0.00075327,          0.00062036,             0.66667,             0.19724,             0.36837,             0.36837,            0.035054,           0.0036348,          0.00050755,            0.004852,            0.004852,            0.004852
                  28,            0.013893,          0.00077349,          0.00062461,             0.16671,             0.53095,             0.22035,              0.1854,            0.035586,           0.0043181,          0.00064201,            0.004654,            0.004654,            0.004654
                  29,            0.014129,          0.00076239,          0.00062924,             0.10556,                 0.6,             0.24113,             0.20155,            0.035835,           0.0042218,          0.00069122,            0.004456,            0.004456,            0.004456
                  30,            0.013715,          0.00075857,          0.00064679,            0.076367,             0.53333,             0.19359,             0.17109,            0.035434,           0.0048464,          0.00053501,            0.004258,            0.004258,            0.004258
                  31,            0.013638,          0.00078412,          0.00062803,            0.083333,                 0.2,             0.13375,             0.13375,            0.035959,           0.0046835,          0.00062199,             0.00406,             0.00406,             0.00406
                  32,             0.01337,          0.00077187,          0.00056514,             0.66667,             0.14865,             0.31387,             0.25438,            0.035088,           0.0042026,          0.00051098,            0.003862,            0.003862,            0.003862
                  33,            0.013486,          0.00075375,          0.00073434,             0.62934,             0.13333,             0.22822,             0.17114,            0.036039,           0.0044362,          0.00061741,            0.003664,            0.003664,            0.003664
                  34,            0.013272,          0.00076126,          0.00059231,            0.087676,             0.53333,             0.17982,              0.1372,            0.035547,           0.0047992,          0.00057192,            0.003466,            0.003466,            0.003466
                  35,             0.01316,          0.00073099,          0.00054292,            0.073611,             0.53333,             0.18899,             0.16681,            0.035567,           0.0049353,          0.00064716,            0.003268,            0.003268,            0.003268
                  36,            0.013029,           0.0007184,          0.00052199,            0.054861,             0.46667,             0.19937,             0.19789,            0.035604,           0.0054956,           0.0012028,             0.00307,             0.00307,             0.00307
                  37,            0.013061,           0.0007222,          0.00054098,             0.13889,                 0.6,             0.27391,             0.25558,            0.035156,           0.0046227,          0.00058136,            0.002872,            0.002872,            0.002872
                  38,            0.013005,          0.00071575,          0.00049577,             0.13571,             0.66667,             0.29144,             0.25927,            0.035677,           0.0044842,          0.00056391,            0.002674,            0.002674,            0.002674
                  39,            0.012912,          0.00072723,          0.00045742,             0.11318,             0.66667,             0.38639,             0.38639,            0.035629,           0.0044011,          0.00074902,            0.002476,            0.002476,            0.002476
                  40,            0.012417,          0.00072354,          0.00042743,             0.20284,             0.53333,             0.55744,             0.45654,            0.036344,           0.0041166,          0.00054388,            0.002278,            0.002278,            0.002278
                  41,            0.012365,          0.00070014,          0.00043861,              0.1721,             0.53333,             0.37108,             0.35055,            0.035982,           0.0044989,          0.00044832,             0.00208,             0.00208,             0.00208
                  42,            0.012363,          0.00069984,          0.00034383,            0.090256,             0.53333,             0.25892,             0.24132,             0.03566,           0.0046623,          0.00051041,            0.001882,            0.001882,            0.001882
                  43,            0.012112,           0.0007064,          0.00049916,            0.099145,             0.53333,             0.22771,             0.21232,            0.035326,           0.0048967,          0.00038767,            0.001684,            0.001684,            0.001684
                  44,            0.012293,          0.00071835,          0.00038998,              0.1234,                 0.6,             0.27459,             0.25543,            0.035416,           0.0047308,          0.00033102,            0.001486,            0.001486,            0.001486
                  45,            0.012019,           0.0006878,          0.00037123,             0.10338,                 0.6,             0.40017,              0.3798,            0.035091,           0.0047927,          0.00036736,            0.001288,            0.001288,            0.001288
                  46,            0.012081,          0.00071568,          0.00041135,            0.088848,                 0.6,             0.36574,             0.33768,            0.035491,           0.0046931,          0.00040884,             0.00109,             0.00109,             0.00109
                  47,            0.012051,           0.0006968,          0.00035375,            0.094444,             0.53333,             0.34315,             0.32542,            0.035486,           0.0050221,          0.00045919,            0.000892,            0.000892,            0.000892
                  48,            0.011845,          0.00069557,          0.00042682,            0.088417,             0.53333,             0.25035,             0.25035,            0.035352,           0.0054128,          0.00046177,            0.000694,            0.000694,            0.000694
                  49,            0.011686,           0.0006806,           0.0003266,             0.10325,             0.53333,             0.33836,             0.33836,             0.03524,           0.0051692,          0.00037251,            0.000496,            0.000496,            0.000496
