               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090281,            0.021729,             0.03429,           0.0028729,             0.86667,            0.069178,            0.022267,            0.033676,           0.0062571,             0.01235,              0.0775,              0.0025,              0.0025
                   1,            0.057176,            0.019352,            0.018594,           0.0029787,                   1,           0.0090705,            0.006453,            0.033683,           0.0060624,            0.010318,            0.054095,            0.005095,            0.005095
                   2,            0.054107,            0.014403,           0.0078655,             0.14249,            0.066667,            0.040989,             0.02796,            0.033175,           0.0059122,           0.0069077,            0.030685,           0.0076848,           0.0076848
                   3,            0.049306,            0.011699,           0.0053426,            0.042626,             0.53333,             0.10611,             0.10432,            0.031767,           0.0067168,           0.0039642,           0.0099703,           0.0099703,           0.0099703
                   4,            0.040527,           0.0099339,            0.004145,             0.19868,             0.10508,             0.13114,             0.13083,            0.031899,            0.011857,            0.002726,           0.0099703,           0.0099703,           0.0099703
                   5,            0.034764,           0.0081085,           0.0028896,           0.0058613,             0.66667,            0.035595,            0.035595,             0.03255,            0.012412,           0.0024788,           0.0099604,           0.0099604,           0.0099604
                   6,            0.031694,           0.0079256,           0.0025535,            0.037156,             0.13333,             0.10456,             0.05627,            0.032357,           0.0090852,           0.0015575,           0.0099505,           0.0099505,           0.0099505
                   7,            0.028733,           0.0073006,           0.0021086,           0.0061587,             0.66667,            0.026725,            0.022942,            0.029307,            0.010128,           0.0016159,           0.0099406,           0.0099406,           0.0099406
                   8,            0.027808,           0.0069481,           0.0020351,            0.005291,             0.66667,            0.057854,            0.047945,            0.031203,            0.013598,           0.0012257,           0.0099307,           0.0099307,           0.0099307
                   9,            0.026543,           0.0065969,           0.0020789,           0.0041803,             0.46667,             0.15251,             0.13163,            0.032735,           0.0074916,           0.0049438,           0.0099208,           0.0099208,           0.0099208
                  10,            0.026059,           0.0066209,           0.0019245,             0.57845,                 0.2,             0.21168,              0.1964,            0.032769,           0.0084889,          0.00060253,           0.0099109,           0.0099109,           0.0099109
                  11,            0.025035,           0.0065328,           0.0018329,           0.0041494,             0.46667,            0.004939,           0.0038497,            0.035499,            0.010892,           0.0032524,            0.009901,            0.009901,            0.009901
                  12,            0.024731,           0.0064714,           0.0015139,             0.22291,            0.066667,            0.083477,            0.040994,            0.033711,            0.011033,           0.0026802,           0.0098911,           0.0098911,           0.0098911
                  13,            0.023768,           0.0062519,            0.001615,           0.0061813,             0.66667,            0.022096,            0.019121,            0.033175,            0.012565,          0.00085831,           0.0098812,           0.0098812,           0.0098812
                  14,            0.023645,           0.0063805,           0.0014186,             0.66667,             0.13301,             0.13987,             0.13987,            0.033323,            0.010181,          0.00082855,           0.0098713,           0.0098713,           0.0098713
                  15,            0.022874,           0.0061325,           0.0013795,           0.0059643,                 0.4,            0.015098,            0.015098,             0.03599,           0.0088221,           0.0060013,           0.0098614,           0.0098614,           0.0098614
                  16,             0.02278,           0.0060477,           0.0012292,             0.02179,             0.33333,              0.1127,            0.023076,             0.03274,           0.0097432,             0.00905,           0.0098515,           0.0098515,           0.0098515
                  17,            0.021638,           0.0059276,           0.0012634,            0.012176,                 0.6,             0.15884,             0.14572,            0.030927,           0.0098548,           0.0010374,           0.0098416,           0.0098416,           0.0098416
                  18,            0.021429,           0.0060028,           0.0011175,             0.04792,                 0.2,             0.10839,             0.10839,            0.032742,             0.01189,          0.00073757,           0.0098317,           0.0098317,           0.0098317
                  19,            0.020964,           0.0058505,           0.0011177,            0.016727,             0.13333,            0.048892,            0.020602,            0.033159,            0.011556,           0.0011948,           0.0098218,           0.0098218,           0.0098218
                  20,            0.021004,           0.0057824,           0.0011084,           0.0093866,                 0.4,            0.030197,            0.013797,             0.03484,            0.012421,           0.0047241,           0.0098119,           0.0098119,           0.0098119
                  21,            0.021016,           0.0057669,           0.0011177,           0.0034829,                 0.4,             0.16704,              0.1668,            0.033221,           0.0099644,           0.0048706,            0.009802,            0.009802,            0.009802
                  22,            0.019938,           0.0057149,           0.0011845,            0.012522,             0.68889,             0.17455,               0.172,            0.031566,           0.0074912,           0.0011799,           0.0097921,           0.0097921,           0.0097921
