               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062457,           0.0069011,            0.020984,           0.0028296,             0.91111,             0.18644,             0.08471,            0.034217,           0.0037005,           0.0096954,             0.07013,           0.0033189,           0.0033189
                   1,             0.03908,           0.0040617,           0.0053515,           0.0031216,             0.66667,            0.011094,           0.0059386,            0.032544,            0.004139,            0.016031,             0.04012,           0.0066421,           0.0066421
                   2,            0.037964,           0.0030931,           0.0061591,          0.00034118,            0.066667,          0.00067984,          0.00013597,            0.039725,           0.0056437,            0.011252,            0.010099,           0.0099552,           0.0099552
                   3,            0.037288,           0.0025904,           0.0051011,           0.0015504,             0.33333,           0.0015946,          0.00031891,            0.043119,           0.0058854,            0.017587,           0.0099543,           0.0099543,           0.0099543
                   4,            0.033169,            0.002214,           0.0042465,          0.00081301,             0.33333,           0.0024209,          0.00048418,            0.035753,           0.0078831,            0.005658,           0.0099543,           0.0099543,           0.0099543
                   5,             0.03018,            0.001943,           0.0035786,           0.0018215,             0.33333,           0.0032201,             0.00161,            0.038966,           0.0047181,           0.0019455,           0.0099391,           0.0099391,           0.0099391
                   6,            0.028622,           0.0017617,           0.0030601,                   0,                   0,                   0,                   0,            0.043774,           0.0051671,           0.0019283,           0.0099238,           0.0099238,           0.0099238
                   7,            0.027113,            0.001702,           0.0028833,                   0,                   0,                   0,                   0,            0.040266,           0.0068741,           0.0033577,           0.0099086,           0.0099086,           0.0099086
                   8,            0.025865,           0.0015667,           0.0024758,           0.0053333,             0.13333,           0.0074707,           0.0020664,            0.037867,           0.0047898,           0.0020931,           0.0098934,           0.0098934,           0.0098934
                   9,            0.025397,           0.0015096,           0.0019999,                   0,                   0,                   0,                   0,            0.043219,           0.0056063,           0.0079926,           0.0098782,           0.0098782,           0.0098782
                  10,            0.024689,           0.0014505,           0.0020854,             0.14095,            0.066667,              0.0677,             0.00677,             0.03705,           0.0091384,           0.0063034,           0.0098629,           0.0098629,           0.0098629
                  11,            0.023269,           0.0014355,           0.0019855,            0.004642,             0.46667,             0.19339,            0.021831,            0.039127,            0.012656,           0.0055573,           0.0098477,           0.0098477,           0.0098477
