               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12361,           0.0030903,            0.024689,                   0,                   0,                   0,                   0,             0.10758,           0.0020856,            0.018283,            0.083427,          2.1905e-05,          2.1905e-05
                   1,            0.076135,           0.0029002,            0.016189,                   0,                   0,                   0,                   0,             0.10569,           0.0022662,            0.015939,            0.066782,          4.3488e-05,          4.3488e-05
                   2,            0.066337,           0.0026563,           0.0096623,                   0,                   0,                   0,                   0,             0.10632,           0.0023943,            0.013513,            0.050137,          6.4653e-05,          6.4653e-05
                   3,            0.057618,           0.0023423,           0.0054453,                   0,                   0,                   0,                   0,             0.11136,           0.0018482,           0.0076492,            0.033491,          8.5399e-05,          8.5399e-05
                   4,            0.054026,           0.0020176,           0.0032632,           0.0047962,             0.13333,           0.0096057,          0.00096057,             0.10537,            0.002591,           0.0025932,            0.016845,          0.00010573,          0.00010573
                   5,            0.046597,            0.001718,           0.0021691,                   0,                   0,                   0,                   0,             0.10753,           0.0026188,            0.002552,          0.00019779,          0.00012564,          0.00012564
                   6,            0.043685,           0.0014833,           0.0016627,            0.009009,            0.066667,           0.0054054,           0.0016216,             0.10945,           0.0027006,          0.00092926,          0.00012448,          0.00012448,          0.00012448
                   7,            0.040656,           0.0013137,           0.0013126,            0.014635,                 0.4,            0.015967,           0.0022179,             0.10967,           0.0026749,           0.0014442,          0.00012448,          0.00012448,          0.00012448
                   8,            0.039189,           0.0011903,           0.0011787,                   0,                   0,                   0,                   0,             0.10789,           0.0027185,           0.0012932,          0.00012322,          0.00012322,          0.00012322
                   9,            0.037523,           0.0010942,           0.0008986,                   0,                   0,                   0,                   0,             0.11103,           0.0027362,           0.0010649,          0.00012197,          0.00012197,          0.00012197
                  10,            0.035017,           0.0010038,          0.00071999,                   0,                   0,                   0,                   0,             0.10768,           0.0030333,          0.00075874,          0.00012071,          0.00012071,          0.00012071
                  11,            0.033701,          0.00094958,          0.00070822,                   0,                   0,                   0,                   0,             0.11463,           0.0021451,           0.0013859,          0.00011946,          0.00011946,          0.00011946
                  12,            0.034049,           0.0009043,          0.00066586,            0.019231,                 0.2,            0.020942,           0.0062827,             0.11398,           0.0024615,           0.0018311,          0.00011821,          0.00011821,          0.00011821
