               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11106,           0.0030696,            0.022623,                   0,                   0,                   0,                   0,             0.10885,           0.0021134,            0.014319,            0.083654,          0.00024892,          0.00024892
                   1,            0.072177,           0.0024106,           0.0079176,                   0,                   0,                   0,                   0,             0.10743,           0.0026878,           0.0055344,            0.067236,          0.00049734,          0.00049734
                   2,             0.07071,           0.0017787,           0.0038131,                   0,                   0,                   0,                   0,             0.10707,           0.0029379,           0.0015186,            0.050816,          0.00074417,          0.00074417
                   3,            0.060201,           0.0013025,           0.0017156,                   0,                   0,                   0,                   0,             0.11624,            0.002569,            0.008345,            0.034395,          0.00098943,          0.00098943
                   4,             0.06053,            0.001098,           0.0012952,                   0,                   0,                   0,                   0,             0.11404,           0.0040732,           0.0083267,            0.017972,           0.0012331,           0.0012331
                   5,            0.055903,          0.00097678,            0.001213,                   0,                   0,                   0,                   0,             0.11069,           0.0049793,           0.0017017,           0.0015473,           0.0014752,           0.0014752
                   6,            0.054345,          0.00088609,           0.0010102,                   0,                   0,                   0,                   0,              0.1152,            0.057265,            0.014813,           0.0014715,           0.0014715,           0.0014715
                   7,            0.050533,          0.00079898,          0.00098881,                   0,                   0,                   0,                   0,              0.1088,            0.006052,           0.0011633,           0.0014715,           0.0014715,           0.0014715
                   8,            0.048428,          0.00072943,          0.00052946,                   0,                   0,                   0,                   0,             0.10934,           0.0056387,           0.0030968,           0.0014667,           0.0014667,           0.0014667
                   9,            0.043457,          0.00064792,          0.00045609,                   0,                   0,                   0,                   0,             0.11251,           0.0041125,           0.0034973,            0.001462,            0.001462,            0.001462
                  10,            0.042367,          0.00061617,          0.00041361,                   0,                   0,                   0,                   0,             0.11496,           0.0042739,            0.035175,           0.0014572,           0.0014572,           0.0014572
                  11,            0.040688,          0.00061232,          0.00038227,                   0,                   0,                   0,                   0,             0.11039,           0.0065823,              0.0245,           0.0014525,           0.0014525,           0.0014525
                  12,            0.041038,          0.00057713,          0.00031087,                   0,                   0,                   0,                   0,              0.1079,           0.0071473,           0.0019283,           0.0014478,           0.0014478,           0.0014478
                  13,            0.038553,          0.00056439,          0.00039685,                   0,                   0,                   0,                   0,             0.11218,             0.01084,            0.029224,            0.001443,            0.001443,            0.001443
                  14,            0.037491,          0.00053693,          0.00025598,                   0,                   0,                   0,                   0,             0.11713,           0.0036791,            0.012653,           0.0014383,           0.0014383,           0.0014383
                  15,            0.037303,          0.00053948,          0.00021763,                   0,                   0,                   0,                   0,             0.11377,           0.0050805,            0.027722,           0.0014335,           0.0014335,           0.0014335
                  16,            0.035297,          0.00050792,          0.00021608,                   0,                   0,                   0,                   0,             0.11607,           0.0043132,            0.038232,           0.0014288,           0.0014288,           0.0014288
                  17,            0.035275,          0.00048755,          0.00016828,                   0,                   0,                   0,                   0,             0.11057,           0.0063603,           0.0080383,            0.001424,            0.001424,            0.001424
                  18,            0.034035,          0.00049675,          0.00026446,                   0,                   0,                   0,                   0,             0.11631,           0.0040114,            0.031329,           0.0014193,           0.0014193,           0.0014193
                  19,            0.033454,          0.00049164,          0.00015887,                   0,                   0,                   0,                   0,             0.10925,           0.0068758,           0.0045181,           0.0014145,           0.0014145,           0.0014145
                  20,             0.03261,          0.00045862,           0.0001521,                   0,                   0,                   0,                   0,             0.11095,           0.0062638,           0.0038452,           0.0014097,           0.0014097,           0.0014097
                  21,            0.032196,          0.00045524,           0.0002101,                   0,                   0,                   0,                   0,             0.11544,           0.0081404,            0.077124,            0.001405,            0.001405,            0.001405
                  22,            0.030928,          0.00045263,          0.00015958,                   0,                   0,                   0,                   0,             0.11551,           0.0050232,           0.0080933,           0.0014003,           0.0014003,           0.0014003
                  23,            0.030558,          0.00046475,          0.00013685,                   0,                   0,                   0,                   0,             0.11098,           0.0058261,           0.0053238,           0.0013955,           0.0013955,           0.0013955
                  24,            0.029791,          0.00043171,          0.00013545,                   0,                   0,                   0,                   0,              0.1136,           0.0046771,            0.016772,           0.0013908,           0.0013908,           0.0013908
                  25,            0.030011,          0.00042699,           0.0001298,                   0,                   0,                   0,                   0,             0.10945,           0.0074915,           0.0097687,            0.001386,            0.001386,            0.001386
                  26,             0.02941,          0.00042093,            0.000111,                   0,                   0,                   0,                   0,             0.10697,           0.0084586,            0.002536,           0.0013812,           0.0013812,           0.0013812
                  27,            0.028328,          0.00042865,          0.00012396,                   0,                   0,                   0,                   0,             0.10755,           0.0082493,           0.0091324,           0.0013765,           0.0013765,           0.0013765
                  28,            0.028026,          0.00040443,          0.00010213,                   0,                   0,                   0,                   0,             0.10603,           0.0090804,           0.0041862,           0.0013717,           0.0013717,           0.0013717
                  29,            0.027211,          0.00040993,          9.0742e-05,                   0,                   0,                   0,                   0,              0.1096,           0.0076489,            0.005452,            0.001367,            0.001367,            0.001367
                  30,            0.026461,          0.00039061,          9.6766e-05,                   0,                   0,                   0,                   0,             0.10872,           0.0078962,           0.0042618,           0.0013622,           0.0013622,           0.0013622
                  31,            0.026015,          0.00038716,          0.00010149,                   0,                   0,                   0,                   0,              0.1103,           0.0077384,            0.009169,           0.0013575,           0.0013575,           0.0013575
                  32,            0.025092,          0.00037828,          7.3197e-05,                   0,                   0,                   0,                   0,             0.10457,            0.010004,           0.0034012,           0.0013528,           0.0013528,           0.0013528
                  33,            0.025084,          0.00036775,          7.3718e-05,                   0,                   0,                   0,                   0,             0.10801,           0.0094329,            0.013028,            0.001348,            0.001348,            0.001348
                  34,            0.025902,          0.00037525,          8.4005e-05,                   0,                   0,                   0,                   0,             0.10821,           0.0085109,           0.0086426,           0.0013433,           0.0013433,           0.0013433
                  35,            0.024231,          0.00036028,          6.2912e-05,                   0,                   0,                   0,                   0,             0.11198,            0.007081,            0.015436,           0.0013385,           0.0013385,           0.0013385
                  36,            0.024926,          0.00035882,          8.5074e-05,                   0,                   0,                   0,                   0,             0.11231,            0.010281,              0.1363,           0.0013338,           0.0013338,           0.0013338
                  37,            0.024867,          0.00036485,          8.8549e-05,            0.019608,            0.066667,            0.029608,           0.0059216,             0.10546,            0.014095,            0.067419,            0.001329,            0.001329,            0.001329
                  38,            0.024485,          0.00036417,           8.402e-05,            0.011494,            0.066667,            0.026322,           0.0026322,             0.10568,            0.010623,             0.10833,           0.0013243,           0.0013243,           0.0013243
                  39,            0.023788,          0.00036048,          6.1902e-05,                   0,                   0,                   0,                   0,             0.11079,            0.018308,              0.1875,           0.0013195,           0.0013195,           0.0013195
                  40,             0.02251,          0.00034277,          5.9871e-05,                   0,                   0,                   0,                   0,             0.11096,            0.018685,             0.15337,           0.0013148,           0.0013148,           0.0013148
                  41,            0.023886,          0.00034417,          5.6093e-05,                   0,                   0,                   0,                   0,             0.11008,            0.016977,             0.20669,             0.00131,             0.00131,             0.00131
                  42,            0.022801,          0.00033527,           7.274e-05,                   0,                   0,                   0,                   0,             0.11333,            0.010756,             0.17769,           0.0013052,           0.0013052,           0.0013052
                  43,            0.022503,          0.00033432,          5.8258e-05,                   0,                   0,                   0,                   0,             0.10909,            0.014331,             0.19526,           0.0013005,           0.0013005,           0.0013005
                  44,            0.022096,          0.00033119,           5.044e-05,           0.0062893,            0.066667,           0.0042138,          0.00042138,              0.1038,            0.031362,             0.23115,           0.0012958,           0.0012958,           0.0012958
                  45,            0.021347,          0.00032261,          6.6535e-05,                   0,                   0,                   0,                   0,             0.10336,            0.028364,             0.23862,            0.001291,            0.001291,            0.001291
                  46,            0.020142,          0.00031394,          4.2302e-05,                   0,                   0,                   0,                   0,             0.10434,            0.019845,             0.19717,           0.0012863,           0.0012863,           0.0012863
                  47,            0.019942,          0.00030656,          5.0329e-05,                   0,                   0,                   0,                   0,             0.10541,            0.013257,              0.2272,           0.0012815,           0.0012815,           0.0012815
                  48,            0.020832,          0.00031698,          4.8796e-05,                   0,                   0,                   0,                   0,             0.10679,             0.01101,             0.25957,           0.0012767,           0.0012767,           0.0012767
                  49,            0.020625,          0.00031018,          4.2887e-05,           0.0081301,            0.066667,            0.016293,           0.0016293,             0.10413,            0.012383,             0.24243,            0.001272,            0.001272,            0.001272
                  50,            0.020003,          0.00030497,          6.5647e-05,            0.013687,            0.066667,            0.069219,           0.0069219,             0.10219,             0.01365,             0.18398,           0.0012672,           0.0012672,           0.0012672
