               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11713,           0.0033462,            0.032055,           0.0015197,             0.66667,           0.0019854,          0.00031768,             0.16755,           0.0042416,            0.044128,            0.083654,          0.00024892,          0.00024892
                   1,            0.084958,           0.0030029,            0.024929,             0.67403,             0.33333,            0.010174,           0.0024625,             0.19864,           0.0059673,            0.033783,            0.067233,          0.00049418,          0.00049418
                   2,            0.080458,           0.0028012,            0.012091,              0.6877,             0.33333,            0.027544,           0.0047203,             0.18166,           0.0064401,            0.055078,            0.050807,          0.00073469,          0.00073469
                   3,            0.079162,           0.0023792,           0.0073615,          0.00027964,             0.13333,          0.00042907,          4.2907e-05,             0.20919,           0.0036967,            0.030551,            0.034376,          0.00097045,          0.00097045
                   4,            0.079689,           0.0019895,           0.0064651,                   0,                   0,                   0,                   0,             0.20761,           0.0052889,            0.023254,             0.01794,           0.0012015,           0.0012015
                   5,            0.076338,           0.0018365,           0.0062517,                   0,                   0,                   0,                   0,              0.2461,           0.0011248,            0.092725,           0.0014999,           0.0014277,           0.0014277
                   6,            0.074935,           0.0017509,            0.006035,                   0,                   0,                   0,                   0,             0.20788,           0.0039641,            0.078918,           0.0014145,           0.0014145,           0.0014145
                   7,            0.071043,           0.0016668,           0.0051028,                   0,                   0,                   0,                   0,             0.23009,           0.0024075,            0.069067,           0.0014145,           0.0014145,           0.0014145
                   8,            0.069788,           0.0015942,           0.0046758,             0.10747,             0.33333,             0.16675,            0.016675,             0.20317,           0.0060284,           0.0065947,           0.0014003,           0.0014003,           0.0014003
                   9,            0.069756,           0.0015891,           0.0054543,           0.0034446,             0.66667,            0.019411,           0.0038479,             0.19214,           0.0055579,            0.050629,            0.001386,            0.001386,            0.001386
                  10,              0.0683,           0.0015015,           0.0048625,                   0,                   0,                   0,                   0,             0.21069,           0.0071077,            0.063611,           0.0013717,           0.0013717,           0.0013717
                  11,            0.066223,           0.0014921,           0.0045379,          0.00056164,             0.13333,          0.00055294,          5.5294e-05,             0.20761,           0.0053516,            0.049924,           0.0013575,           0.0013575,           0.0013575
                  12,            0.065095,           0.0014384,           0.0043352,           0.0039009,             0.46667,           0.0095535,           0.0014059,              0.2019,           0.0036046,            0.019588,           0.0013433,           0.0013433,           0.0013433
                  13,            0.064392,           0.0014594,           0.0036726,           0.0038385,             0.53333,            0.018406,           0.0051162,              0.1949,           0.0050775,            0.047443,            0.001329,            0.001329,            0.001329
                  14,            0.062889,           0.0014366,           0.0038339,                   0,                   0,                   0,                   0,             0.20944,            0.006865,             0.10682,           0.0013148,           0.0013148,           0.0013148
                  15,            0.063021,             0.00143,           0.0040356,                   0,                   0,                   0,                   0,              0.2227,           0.0087366,             0.12689,           0.0013005,           0.0013005,           0.0013005
                  16,            0.061014,           0.0013766,           0.0038124,          0.00064226,            0.066667,          0.00059006,          5.9006e-05,             0.20601,           0.0067131,           0.0090466,           0.0012863,           0.0012863,           0.0012863
                  17,             0.06106,           0.0013726,           0.0033914,           0.0033475,             0.53333,            0.018036,           0.0047003,             0.20474,           0.0036274,            0.054309,            0.001272,            0.001272,            0.001272
                  18,            0.060992,           0.0013981,           0.0032763,           0.0049976,                 0.6,           0.0092794,           0.0018822,             0.20368,           0.0033026,            0.042224,           0.0012577,           0.0012577,           0.0012577
                  19,            0.059648,           0.0013922,           0.0036886,           0.0033484,             0.66667,            0.014211,            0.002868,             0.19098,           0.0038571,            0.029453,           0.0012435,           0.0012435,           0.0012435
