               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.22947,           0.0045356,            0.038581,          0.00083597,             0.17778,           0.0014852,          0.00026514,             0.20463,           0.0033908,              0.0285,            0.083654,          0.00024892,          0.00024892
                   1,             0.12375,           0.0046376,            0.032896,           0.0011143,             0.68889,           0.0092219,             0.00169,             0.19053,           0.0030546,            0.029141,            0.067238,          0.00049891,          0.00049891
                   2,            0.085776,            0.004396,            0.029933,          0.00057264,                 0.6,            0.018763,           0.0048637,             0.19901,           0.0025081,            0.029892,            0.050821,           0.0007489,           0.0007489
                   3,            0.075452,           0.0041208,            0.024073,          0.00069462,             0.66667,            0.047147,            0.021915,             0.17745,           0.0029923,            0.030368,            0.034404,          0.00099887,          0.00099887
                   4,            0.069892,           0.0040002,            0.017636,          0.00068156,             0.66667,            0.087916,            0.057628,              0.1753,           0.0029442,            0.029004,            0.017988,           0.0012488,           0.0012488
                   5,            0.066158,           0.0037028,            0.014849,           0.0010469,             0.66667,             0.32362,             0.28654,             0.16114,           0.0034594,            0.029114,           0.0015709,           0.0014987,           0.0014987
                   6,            0.063291,           0.0034629,            0.012326,           0.0022962,             0.66667,              0.4975,             0.34236,             0.16014,           0.0034701,            0.026303,           0.0014997,           0.0014997,           0.0014997
                   7,            0.059014,           0.0034209,            0.010308,             0.00477,             0.66667,             0.40889,             0.29813,             0.16501,           0.0033736,            0.023062,           0.0014997,           0.0014997,           0.0014997
                   8,            0.057302,           0.0032396,           0.0096042,           0.0063323,             0.66667,             0.66333,             0.56119,              0.1713,           0.0031605,            0.016026,           0.0014996,           0.0014996,           0.0014996
                   9,            0.056012,           0.0031415,            0.009097,           0.0084172,             0.66667,             0.56857,             0.29763,             0.17005,           0.0030516,            0.015701,           0.0014995,           0.0014995,           0.0014995
                  10,            0.053685,           0.0030528,           0.0088358,            0.024542,             0.68889,             0.57474,             0.47507,             0.16207,           0.0034812,            0.017065,           0.0014993,           0.0014993,           0.0014993
                  11,            0.053667,           0.0028908,           0.0085623,            0.022948,             0.66667,             0.58926,             0.36139,             0.17519,           0.0030147,            0.016512,           0.0014992,           0.0014992,           0.0014992
                  12,            0.052431,           0.0028526,           0.0085451,             0.02614,             0.66667,             0.39056,             0.33784,             0.17327,            0.002957,            0.018585,            0.001499,            0.001499,            0.001499
                  13,            0.052239,           0.0026935,           0.0085219,            0.035626,             0.66667,             0.26718,             0.22485,             0.17962,           0.0026996,            0.016255,           0.0014988,           0.0014988,           0.0014988
                  14,            0.051828,           0.0025995,           0.0082829,            0.014006,             0.33333,             0.33167,             0.32512,             0.17974,           0.0028689,            0.011044,           0.0014986,           0.0014986,           0.0014986
                  15,            0.050816,           0.0025043,           0.0080567,            0.025236,             0.66667,             0.17217,             0.11702,             0.18105,           0.0029281,            0.015958,           0.0014984,           0.0014984,           0.0014984
                  16,            0.049037,           0.0024647,           0.0080733,            0.044643,             0.66667,             0.34746,             0.18363,             0.17379,           0.0034138,            0.015894,           0.0014981,           0.0014981,           0.0014981
                  17,            0.049263,           0.0023526,            0.008048,            0.065025,             0.66667,             0.24531,             0.13228,             0.17374,           0.0035814,            0.010739,           0.0014979,           0.0014979,           0.0014979
                  18,            0.049501,           0.0022849,           0.0080382,            0.052083,             0.33333,             0.30667,              0.2996,             0.17888,           0.0030107,            0.013266,           0.0014976,           0.0014976,           0.0014976
                  19,            0.048714,           0.0022344,           0.0081574,            0.064103,             0.33333,              0.1975,             0.13512,             0.18305,           0.0032285,            0.012355,           0.0014973,           0.0014973,           0.0014973
                  20,             0.04797,           0.0021605,           0.0080831,            0.074597,             0.66667,             0.32597,             0.27061,             0.17634,           0.0034069,           0.0072166,            0.001497,            0.001497,            0.001497
                  21,            0.048424,           0.0020943,           0.0077911,             0.13757,             0.66667,             0.58714,             0.51285,             0.16135,           0.0041717,            0.012758,           0.0014967,           0.0014967,           0.0014967
                  22,             0.04636,            0.002007,           0.0077238,            0.014493,             0.33333,            0.041458,            0.029021,              0.1745,           0.0035452,            0.020815,           0.0014963,           0.0014963,           0.0014963
                  23,            0.046649,           0.0019067,           0.0078075,            0.025219,                 0.4,            0.044235,            0.040089,             0.17237,           0.0040105,            0.011861,            0.001496,            0.001496,            0.001496
                  24,            0.047213,           0.0018733,           0.0078784,              0.1746,             0.66667,             0.27578,              0.2403,             0.16992,           0.0039772,            0.012451,           0.0014956,           0.0014956,           0.0014956
                  25,            0.046616,            0.001869,           0.0079204,            0.061905,                 0.6,             0.18024,             0.15032,             0.15713,           0.0045524,            0.013976,           0.0014952,           0.0014952,           0.0014952
                  26,            0.046403,           0.0017397,           0.0078968,            0.067227,             0.66667,             0.15879,             0.14035,             0.16076,            0.004478,           0.0089745,           0.0014948,           0.0014948,           0.0014948
                  27,            0.046994,            0.001764,           0.0077216,              0.0551,             0.66667,              0.5603,             0.43876,             0.15983,           0.0043601,            0.012197,           0.0014944,           0.0014944,           0.0014944
                  28,            0.045696,           0.0017294,           0.0077443,            0.070085,             0.46667,             0.12925,             0.11985,             0.16677,           0.0041926,            0.012877,           0.0014939,           0.0014939,           0.0014939
                  29,             0.04616,           0.0016391,            0.007651,             0.09697,             0.66667,             0.57231,             0.55421,             0.17513,           0.0034229,           0.0096199,           0.0014935,           0.0014935,           0.0014935
                  30,             0.04637,           0.0016589,           0.0076252,            0.063521,                 0.6,             0.15949,             0.13691,             0.17649,           0.0033392,            0.010549,            0.001493,            0.001493,            0.001493
                  31,             0.04629,           0.0015905,            0.007804,            0.099138,             0.66667,              0.4169,             0.36497,             0.17015,           0.0038326,            0.009549,           0.0014925,           0.0014925,           0.0014925
                  32,            0.045224,           0.0015436,            0.007592,            0.045455,             0.66667,             0.38038,             0.29602,             0.17661,           0.0034136,            0.010931,            0.001492,            0.001492,            0.001492
                  33,            0.045488,           0.0015331,           0.0074778,            0.064214,                 0.6,             0.41162,             0.36734,             0.17339,           0.0035104,           0.0094254,           0.0014915,           0.0014915,           0.0014915
                  34,            0.044985,           0.0015047,            0.007561,            0.070238,             0.53333,             0.19221,             0.15808,             0.17602,            0.003712,            0.010384,            0.001491,            0.001491,            0.001491
                  35,            0.044663,            0.001471,           0.0075204,            0.098039,             0.33333,             0.23167,             0.21092,             0.17619,           0.0033963,           0.0077316,           0.0014904,           0.0014904,           0.0014904
                  36,            0.044688,           0.0014638,           0.0075026,             0.12368,             0.66667,             0.40984,               0.381,             0.16708,            0.003869,           0.0082947,           0.0014898,           0.0014898,           0.0014898
                  37,            0.044275,           0.0014257,           0.0076917,             0.12105,             0.66667,             0.66333,             0.60421,             0.17469,           0.0030089,           0.0091187,           0.0014892,           0.0014892,           0.0014892
                  38,            0.043814,           0.0013843,           0.0075644,            0.094276,             0.66667,             0.30344,              0.2687,             0.17457,           0.0033099,           0.0077385,           0.0014886,           0.0014886,           0.0014886
                  39,            0.044753,           0.0013582,           0.0075799,            0.093301,             0.66667,             0.22127,             0.17293,             0.17627,           0.0032348,           0.0079102,            0.001488,            0.001488,            0.001488
                  40,            0.044646,           0.0013194,           0.0075714,            0.092593,             0.33333,             0.10794,            0.088728,             0.17364,           0.0036926,           0.0095146,           0.0014874,           0.0014874,           0.0014874
                  41,            0.044523,           0.0013299,           0.0076139,             0.18651,             0.66667,             0.25738,             0.23299,             0.17322,           0.0035904,           0.0082603,           0.0014867,           0.0014867,           0.0014867
                  42,            0.043452,           0.0012722,           0.0074744,             0.35185,             0.66667,             0.45917,             0.39406,             0.17641,            0.003489,           0.0088829,           0.0014861,           0.0014861,           0.0014861
                  43,            0.043268,           0.0012661,           0.0074536,            0.090476,             0.66667,             0.37861,             0.31931,             0.17253,           0.0036765,            0.009304,           0.0014854,           0.0014854,           0.0014854
                  44,            0.044339,           0.0012945,           0.0074414,             0.19577,                 0.6,             0.39339,             0.34091,             0.17659,           0.0034593,            0.014639,           0.0014847,           0.0014847,           0.0014847
                  45,             0.04329,            0.001262,             0.00741,             0.22222,             0.66667,             0.52013,             0.42334,             0.17616,           0.0034677,           0.0097893,           0.0014839,           0.0014839,           0.0014839
                  46,            0.043274,            0.001253,           0.0074294,             0.13675,             0.66667,             0.61167,             0.48277,             0.17624,           0.0032408,           0.0086632,           0.0014832,           0.0014832,           0.0014832
                  47,            0.042813,           0.0012556,            0.007609,            0.072857,             0.66667,             0.36792,               0.318,             0.17045,           0.0037333,           0.0077225,           0.0014825,           0.0014825,           0.0014825
                  48,            0.044066,           0.0012454,           0.0077297,            0.060514,             0.66667,              0.4012,             0.30427,             0.16764,           0.0038731,           0.0080933,           0.0014817,           0.0014817,           0.0014817
                  49,            0.043255,           0.0012042,           0.0075949,            0.080769,             0.66667,             0.44583,             0.35641,             0.16875,            0.003652,           0.0079903,           0.0014809,           0.0014809,           0.0014809
                  50,            0.042672,           0.0011993,           0.0075073,            0.094276,             0.66667,             0.38671,             0.34374,             0.17242,           0.0035796,           0.0086746,           0.0014801,           0.0014801,           0.0014801
                  51,            0.042434,            0.001198,            0.007373,             0.10714,             0.66667,             0.38933,             0.36405,             0.17303,           0.0035414,           0.0089584,           0.0014793,           0.0014793,           0.0014793
                  52,             0.04228,           0.0011842,           0.0075991,             0.14935,             0.66667,              0.4325,             0.40425,             0.17587,           0.0033152,            0.010242,           0.0014785,           0.0014785,           0.0014785
                  53,            0.042275,            0.001186,           0.0074777,             0.17222,             0.66667,             0.37822,             0.35791,             0.17688,           0.0034639,            0.010343,           0.0014776,           0.0014776,           0.0014776
                  54,            0.042786,           0.0011693,           0.0073952,             0.12185,             0.66667,             0.40814,             0.38714,             0.17576,           0.0035567,            0.010165,           0.0014768,           0.0014768,           0.0014768
                  55,            0.042038,           0.0011476,           0.0075872,             0.10897,             0.66667,             0.41487,              0.3833,             0.17565,           0.0035681,           0.0096886,           0.0014759,           0.0014759,           0.0014759
                  56,             0.04272,           0.0011579,           0.0075056,             0.16071,             0.66667,             0.41487,             0.38134,             0.17644,           0.0035263,            0.010361,            0.001475,            0.001475,            0.001475
                  57,            0.042215,           0.0011362,           0.0073939,             0.13194,             0.66667,             0.27639,             0.25255,             0.17577,           0.0036472,           0.0097343,           0.0014741,           0.0014741,           0.0014741
                  58,            0.041416,           0.0011633,           0.0074814,             0.12185,             0.66667,             0.22006,             0.20269,             0.17669,           0.0036317,           0.0095764,           0.0014731,           0.0014731,           0.0014731
                  59,            0.041669,           0.0011368,           0.0075459,             0.13447,             0.66667,             0.24875,             0.20956,             0.17663,           0.0036606,             0.01038,           0.0014722,           0.0014722,           0.0014722
                  60,            0.041758,            0.001135,           0.0073574,             0.13447,             0.66667,             0.26948,             0.23321,             0.17663,           0.0037339,            0.010947,           0.0014712,           0.0014712,           0.0014712
                  61,            0.042152,           0.0011392,           0.0072464,            0.065062,             0.53333,             0.20348,             0.17612,             0.17652,           0.0038436,            0.010682,           0.0014703,           0.0014703,           0.0014703
                  62,            0.042166,           0.0011042,           0.0073925,            0.030366,                 0.4,             0.17635,             0.15345,             0.17619,           0.0039369,            0.010744,           0.0014693,           0.0014693,           0.0014693
                  63,            0.041223,           0.0010917,           0.0073429,            0.046529,             0.46667,             0.18664,              0.1454,             0.17664,           0.0039298,           0.0096817,           0.0014682,           0.0014682,           0.0014682
                  64,            0.041624,           0.0010759,           0.0073123,            0.066288,             0.53333,             0.12942,            0.098806,             0.17574,            0.003872,           0.0092285,           0.0014672,           0.0014672,           0.0014672
                  65,            0.041259,           0.0010799,           0.0073764,            0.078273,             0.53333,             0.21629,              0.1692,             0.17558,           0.0038167,           0.0091461,           0.0014662,           0.0014662,           0.0014662
                  66,            0.040703,           0.0011069,           0.0073309,            0.096591,             0.66667,              0.2448,             0.19644,             0.17541,           0.0037867,           0.0089996,           0.0014651,           0.0014651,           0.0014651
                  67,            0.041136,           0.0010801,           0.0073248,             0.11153,             0.66667,             0.25796,             0.20703,             0.17547,           0.0037577,           0.0089424,           0.0014641,           0.0014641,           0.0014641
                  68,            0.041038,           0.0010918,           0.0074355,             0.12368,             0.66667,             0.27361,             0.21795,             0.17567,           0.0037167,           0.0090271,            0.001463,            0.001463,            0.001463
                  69,            0.041393,           0.0010788,           0.0073876,             0.12582,             0.66667,             0.28465,             0.22482,             0.17598,           0.0036897,            0.009137,           0.0014619,           0.0014619,           0.0014619
                  70,            0.041317,           0.0010779,           0.0073478,             0.12368,             0.66667,             0.27377,              0.2173,             0.17549,           0.0037371,           0.0090935,           0.0014607,           0.0014607,           0.0014607
                  71,            0.040772,           0.0010599,           0.0073286,             0.12368,             0.66667,             0.27377,              0.2173,             0.17546,           0.0037773,           0.0090248,           0.0014596,           0.0014596,           0.0014596
                  72,            0.040121,           0.0010763,           0.0074489,             0.10417,             0.66667,             0.18879,             0.14827,             0.17499,           0.0037994,           0.0088715,           0.0014585,           0.0014585,           0.0014585
                  73,            0.040889,           0.0010681,           0.0072479,            0.090982,             0.66667,              0.1864,             0.14562,             0.17457,           0.0038336,           0.0087387,           0.0014573,           0.0014573,           0.0014573
                  74,             0.04038,           0.0010668,            0.007437,            0.082828,                 0.6,             0.17082,             0.13261,             0.17432,           0.0038701,           0.0087135,           0.0014561,           0.0014561,           0.0014561
                  75,             0.04055,           0.0010606,           0.0073036,            0.080214,                 0.6,             0.15424,             0.11872,              0.1744,           0.0038969,           0.0087914,           0.0014549,           0.0014549,           0.0014549
                  76,            0.040406,           0.0010226,           0.0075936,            0.088889,                 0.6,             0.13592,             0.10437,             0.17453,           0.0039145,           0.0088463,           0.0014537,           0.0014537,           0.0014537
                  77,             0.04105,            0.001028,           0.0073743,            0.093985,                 0.6,             0.12576,            0.096419,             0.17464,           0.0039161,            0.008931,           0.0014525,           0.0014525,           0.0014525
                  78,            0.040602,           0.0010527,           0.0072829,            0.088889,                 0.6,             0.12539,            0.099634,             0.17448,           0.0039303,           0.0089355,           0.0014512,           0.0014512,           0.0014512
                  79,             0.04005,           0.0010478,           0.0073532,            0.093985,                 0.6,             0.12576,              0.1001,             0.17432,           0.0039666,           0.0089973,             0.00145,             0.00145,             0.00145
                  80,             0.04024,           0.0010208,           0.0074614,            0.097884,                 0.6,             0.12617,             0.10063,             0.17427,            0.003991,           0.0090614,           0.0014487,           0.0014487,           0.0014487
                  81,            0.041107,           0.0010369,           0.0072787,            0.097884,                 0.6,             0.12034,            0.094722,             0.17414,           0.0040178,           0.0090431,           0.0014474,           0.0014474,           0.0014474
                  82,            0.039822,           0.0010021,            0.007265,            0.093985,                 0.6,             0.11993,            0.094219,             0.17398,           0.0040259,           0.0090042,           0.0014461,           0.0014461,           0.0014461
                  83,            0.040163,           0.0010072,           0.0073628,            0.093985,                 0.6,             0.11993,            0.094219,             0.17377,           0.0040404,           0.0089928,           0.0014448,           0.0014448,           0.0014448
                  84,            0.039587,           0.0010004,            0.007305,            0.093985,                 0.6,             0.11993,            0.094219,             0.17359,           0.0040526,           0.0090363,           0.0014434,           0.0014434,           0.0014434
                  85,            0.040386,           0.0010159,           0.0072913,            0.095816,                 0.6,             0.11625,            0.090903,              0.1736,           0.0040507,           0.0090843,           0.0014421,           0.0014421,           0.0014421
