               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.050938,           0.0010904,            0.002791,             0.60759,             0.26667,             0.65222,             0.36593,             0.18572,           0.0033578,           0.0031019,            0.083538,          0.00013276,          0.00013276
                   1,            0.049106,           0.0010664,           0.0026218,             0.61266,             0.26667,             0.65222,             0.42233,             0.18505,           0.0033761,           0.0029097,            0.067002,          0.00026283,          0.00026283
                   2,            0.046936,           0.0010639,           0.0022132,             0.66667,             0.31063,             0.66333,             0.44914,             0.18478,            0.003385,           0.0029137,            0.050462,          0.00038964,          0.00038964
                   3,            0.045441,           0.0010899,           0.0023828,             0.66667,                 0.3,             0.66333,              0.4099,             0.18565,           0.0033339,           0.0027128,            0.033919,          0.00051318,          0.00051318
                   4,            0.044222,           0.0010296,           0.0018635,             0.66667,             0.30675,             0.66333,             0.37043,             0.18224,           0.0035804,           0.0028473,            0.017372,          0.00063345,          0.00063345
                   5,            0.044897,           0.0010569,           0.0023608,             0.64419,             0.26667,             0.64429,             0.23398,             0.18776,           0.0030983,           0.0026545,          0.00082261,          0.00075046,          0.00075046
                   6,            0.043394,           0.0010373,           0.0021578,             0.66667,             0.29194,             0.66333,             0.39753,             0.18543,           0.0028916,           0.0031637,           0.0007412,           0.0007412,           0.0007412
                   7,            0.044234,           0.0010413,           0.0020386,             0.55901,             0.28116,             0.63095,             0.35711,             0.18556,           0.0029604,           0.0027746,           0.0007412,           0.0007412,           0.0007412
                   8,            0.043451,           0.0010393,           0.0022218,             0.55336,             0.26667,             0.46787,             0.20029,             0.18826,           0.0029773,           0.0035545,           0.0007314,           0.0007314,           0.0007314
                   9,            0.042898,           0.0010244,           0.0021143,             0.59323,                 0.2,                0.42,             0.22962,             0.18628,           0.0025786,           0.0033005,           0.0007216,           0.0007216,           0.0007216
                  10,            0.043198,           0.0010263,           0.0021057,             0.65231,             0.26667,             0.35911,             0.18154,             0.18956,           0.0030072,           0.0049301,           0.0007118,           0.0007118,           0.0007118
                  11,            0.042875,           0.0010147,           0.0019903,             0.57614,             0.26667,             0.41167,             0.26173,             0.18522,           0.0031909,           0.0031368,            0.000702,            0.000702,            0.000702
                  12,            0.043428,           0.0010127,           0.0019893,             0.58683,             0.26667,             0.37822,             0.22439,             0.18737,           0.0029362,            0.004513,           0.0006922,           0.0006922,           0.0006922
                  13,            0.042714,           0.0010266,           0.0019039,             0.60676,             0.33333,             0.66333,             0.38306,             0.18625,           0.0026451,           0.0032633,           0.0006824,           0.0006824,           0.0006824
                  14,            0.042588,           0.0010134,           0.0018659,             0.66667,             0.26589,             0.45464,             0.21207,             0.18745,           0.0027229,           0.0036427,           0.0006726,           0.0006726,           0.0006726
                  15,            0.043093,           0.0010218,           0.0019551,             0.64435,             0.26667,                0.63,             0.36854,             0.18568,           0.0027102,            0.003475,           0.0006628,           0.0006628,           0.0006628
                  16,            0.042958,           0.0010078,           0.0019578,              0.6067,             0.26667,             0.61627,             0.40921,             0.18669,           0.0027066,           0.0034853,            0.000653,            0.000653,            0.000653
                  17,            0.042522,           0.0010003,           0.0020371,             0.58654,             0.33333,                0.42,             0.24553,              0.1857,           0.0027105,           0.0035139,           0.0006432,           0.0006432,           0.0006432
                  18,            0.043073,           0.0010081,           0.0019312,             0.57102,             0.26667,                0.63,             0.42277,             0.18606,           0.0027789,           0.0035156,           0.0006334,           0.0006334,           0.0006334
                  19,             0.04208,          0.00097538,           0.0017509,             0.54072,             0.26667,             0.45454,             0.22766,             0.18553,           0.0029288,           0.0035305,           0.0006236,           0.0006236,           0.0006236
                  20,            0.042429,           0.0010145,           0.0019589,             0.57885,             0.26667,             0.45647,             0.25792,             0.18252,           0.0029362,           0.0035866,           0.0006138,           0.0006138,           0.0006138
                  21,            0.042194,           0.0010007,            0.001891,             0.57437,             0.26667,             0.63833,             0.32811,             0.18273,           0.0026639,           0.0032713,            0.000604,            0.000604,            0.000604
                  22,             0.04241,           0.0010386,           0.0018929,             0.66547,             0.26667,             0.46417,             0.25428,             0.18435,           0.0031845,           0.0031294,           0.0005942,           0.0005942,           0.0005942
                  23,            0.042718,           0.0010315,           0.0019683,             0.60421,             0.33333,             0.66333,             0.44101,             0.18254,           0.0027699,           0.0029039,           0.0005844,           0.0005844,           0.0005844
                  24,            0.041728,           0.0010357,            0.002047,             0.50281,                 0.6,             0.63095,             0.41625,             0.18327,            0.002648,           0.0028725,           0.0005746,           0.0005746,           0.0005746
                  25,            0.041739,           0.0010222,           0.0021023,             0.66667,             0.26567,              0.6337,             0.47569,             0.18335,           0.0026385,           0.0027926,           0.0005648,           0.0005648,           0.0005648
                  26,            0.042504,           0.0010112,           0.0020409,             0.52569,             0.66667,             0.65222,             0.43293,              0.1826,           0.0027956,           0.0034498,            0.000555,            0.000555,            0.000555
                  27,            0.041088,           0.0010092,           0.0019182,             0.54925,             0.66667,             0.65222,             0.43886,             0.18208,           0.0028075,           0.0034252,           0.0005452,           0.0005452,           0.0005452
                  28,            0.041428,          0.00099852,           0.0018961,             0.60959,             0.32423,             0.48639,              0.3196,             0.18242,           0.0025479,           0.0031946,           0.0005354,           0.0005354,           0.0005354
                  29,            0.041797,          0.00098273,           0.0017095,              0.5484,             0.65724,             0.65222,             0.48422,             0.18222,           0.0027534,           0.0033531,           0.0005256,           0.0005256,           0.0005256
                  30,            0.041648,           0.0010034,           0.0018346,             0.59734,             0.26667,             0.64429,             0.48449,             0.18122,           0.0029659,           0.0028421,           0.0005158,           0.0005158,           0.0005158
                  31,            0.040988,           0.0010187,            0.001871,             0.60619,              0.3038,             0.65222,             0.47483,             0.17937,           0.0028235,           0.0031179,            0.000506,            0.000506,            0.000506
