               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12513,           0.0031033,            0.032727,          0.00069417,                 0.6,           0.0015129,          0.00036814,             0.18664,           0.0037684,            0.041034,            0.083612,          0.00024956,          0.00024956
                   1,            0.097091,           0.0028333,            0.027633,          0.00041794,             0.46667,           0.0018631,          0.00046399,              0.1966,           0.0040577,             0.03728,            0.067195,          0.00049948,          0.00049948
                   2,             0.09003,           0.0025758,            0.017499,             0.36613,             0.33333,            0.066333,            0.012161,             0.22547,           0.0017661,            0.032117,            0.050778,          0.00074907,          0.00074907
                   3,            0.077522,           0.0021299,            0.013687,            0.052774,             0.46667,            0.067005,            0.013318,             0.18905,           0.0055836,            0.017427,            0.034361,           0.0009981,           0.0009981
                   4,            0.076534,           0.0019055,            0.011803,          0.00054553,                 0.4,          0.00058277,          5.8277e-05,             0.19329,           0.0056154,            0.030615,            0.017942,           0.0012463,           0.0012463
                   5,            0.078382,           0.0018322,            0.012336,          0.00034941,             0.33333,           0.0014054,          0.00027703,             0.20914,           0.0047758,            0.017422,           0.0015227,           0.0014935,           0.0014935
                   6,             0.07695,           0.0017538,             0.01171,           0.0029004,             0.26667,           0.0094721,          0.00094721,             0.21128,           0.0051119,            0.017935,           0.0014912,           0.0014912,           0.0014912
                   7,            0.074426,           0.0017239,            0.011431,           0.0020486,            0.066667,            0.013096,            0.002687,             0.20686,           0.0033763,            0.019826,           0.0014912,           0.0014912,           0.0014912
                   8,            0.069114,           0.0015961,            0.010379,            0.098613,            0.066667,            0.050206,            0.014821,             0.19791,           0.0048688,           0.0078552,           0.0014881,           0.0014881,           0.0014881
                   9,            0.069233,           0.0015632,            0.010601,            0.003079,                 0.6,            0.012971,           0.0044229,             0.19462,           0.0035573,             0.02829,           0.0014844,           0.0014844,           0.0014844
                  10,             0.06706,           0.0015491,            0.010211,           0.0025781,                 0.6,            0.024163,           0.0046191,             0.21093,           0.0031051,            0.015504,           0.0014803,           0.0014803,           0.0014803
                  11,            0.066885,            0.001501,            0.010035,             0.14795,             0.33333,             0.18102,            0.069557,             0.19893,           0.0047908,            0.014754,           0.0014757,           0.0014757,           0.0014757
                  12,            0.065155,           0.0015334,            0.010043,             0.30266,             0.46667,             0.47554,             0.10341,             0.20304,            0.004116,           0.0080887,           0.0014707,           0.0014707,           0.0014707
                  13,            0.066258,           0.0015297,            0.010314,             0.97231,            0.066667,            0.077275,            0.008923,             0.19879,           0.0078193,            0.010725,           0.0014651,           0.0014651,           0.0014651
                  14,            0.065097,             0.00148,           0.0098615,            0.020693,            0.066667,           0.0073879,          0.00073879,             0.21724,           0.0039999,            0.021414,           0.0014591,           0.0014591,           0.0014591
                  15,            0.064239,           0.0014521,           0.0097267,              0.3074,             0.13333,             0.16503,            0.024075,             0.19586,            0.004921,            0.016649,           0.0014527,           0.0014527,           0.0014527
                  16,            0.063044,           0.0014242,           0.0098166,             0.27541,                 0.6,              0.3127,            0.076884,             0.17903,           0.0041291,            0.027631,           0.0014458,           0.0014458,           0.0014458
                  17,            0.061447,           0.0014043,           0.0096278,             0.30454,            0.066667,             0.10371,            0.013428,             0.19677,           0.0062811,            0.025269,           0.0014384,           0.0014384,           0.0014384
                  18,            0.062954,           0.0014043,           0.0095317,              0.2543,             0.60313,              0.3679,            0.050456,             0.18575,           0.0050504,            0.015596,           0.0014306,           0.0014306,           0.0014306
                  19,            0.060836,           0.0014133,           0.0092092,             0.14282,            0.066667,            0.071903,           0.0073909,             0.20214,           0.0046413,            0.014722,           0.0014223,           0.0014223,           0.0014223
                  20,            0.060249,           0.0013988,            0.009577,           0.0043307,             0.66667,            0.011825,            0.001818,             0.20431,           0.0037254,            0.020036,           0.0014137,           0.0014137,           0.0014137
                  21,            0.059501,           0.0013961,           0.0091237,             0.13763,                 0.4,             0.13557,            0.049016,             0.19331,           0.0039269,           0.0083313,           0.0014045,           0.0014045,           0.0014045
                  22,            0.058649,           0.0013809,           0.0091289,             0.11059,             0.33042,             0.13739,            0.019563,             0.20167,           0.0037234,            0.015431,            0.001395,            0.001395,            0.001395
                  23,            0.060261,           0.0013309,           0.0089615,             0.13443,            0.066667,             0.10859,            0.013961,             0.20132,           0.0036179,           0.0072693,           0.0013851,           0.0013851,           0.0013851
                  24,            0.059649,           0.0013825,            0.009342,            0.020509,             0.13333,            0.069741,            0.017788,             0.19616,           0.0036426,           0.0075874,           0.0013747,           0.0013747,           0.0013747
                  25,            0.058149,           0.0014113,           0.0095564,            0.092765,             0.13333,            0.071478,            0.010252,             0.20517,           0.0029557,           0.0078667,           0.0013639,           0.0013639,           0.0013639
                  26,            0.058759,           0.0013175,           0.0093175,             0.39606,             0.13333,             0.42978,             0.05455,             0.19186,           0.0035336,           0.0080246,           0.0013528,           0.0013528,           0.0013528
                  27,            0.058524,           0.0013564,           0.0090618,             0.42912,            0.057474,            0.039676,           0.0070018,             0.19382,            0.004103,           0.0085716,           0.0013412,           0.0013412,           0.0013412
                  28,            0.057335,           0.0013542,           0.0090037,           0.0057323,             0.66667,            0.077411,            0.032872,             0.18999,           0.0040823,           0.0090866,           0.0013293,           0.0013293,           0.0013293
                  29,            0.056858,           0.0013169,            0.009289,           0.0041841,                 0.2,           0.0046555,           0.0014306,             0.19414,           0.0045354,           0.0064362,            0.001317,            0.001317,            0.001317
                  30,            0.057137,           0.0013074,           0.0086664,           0.0065121,             0.66667,            0.042642,             0.01962,             0.18875,           0.0039875,           0.0099953,           0.0013043,           0.0013043,           0.0013043
                  31,            0.055466,           0.0012819,           0.0090239,           0.0039308,             0.33333,            0.028235,            0.010367,              0.1906,           0.0053948,           0.0060402,           0.0012913,           0.0012913,           0.0012913
                  32,            0.055677,           0.0012829,           0.0089084,             0.11054,            0.066667,            0.058276,            0.019901,             0.18572,           0.0042631,           0.0077705,            0.001278,            0.001278,            0.001278
                  33,            0.055774,           0.0013037,           0.0089011,             0.14966,            0.066667,            0.059369,            0.013795,             0.19498,           0.0040089,           0.0089928,           0.0012643,           0.0012643,           0.0012643
                  34,            0.054977,           0.0012882,           0.0086248,            0.023602,            0.066667,            0.037573,             0.01344,              0.1888,           0.0042392,            0.011652,           0.0012502,           0.0012502,           0.0012502
                  35,            0.054127,            0.001256,           0.0091106,             0.19309,            0.098374,              0.1382,             0.05825,             0.18863,           0.0040816,            0.010224,           0.0012359,           0.0012359,           0.0012359
                  36,            0.054332,             0.00128,           0.0085101,             0.12855,            0.066667,             0.14089,            0.052271,             0.18631,            0.003552,           0.0070885,           0.0012212,           0.0012212,           0.0012212
                  37,            0.054345,           0.0012715,           0.0088862,             0.24213,                 0.2,              0.2512,             0.11911,             0.18464,           0.0031724,           0.0066605,           0.0012063,           0.0012063,           0.0012063
                  38,            0.053359,           0.0012336,           0.0089967,               0.152,             0.53333,             0.16291,            0.049962,             0.18464,           0.0034996,           0.0061684,           0.0011911,           0.0011911,           0.0011911
                  39,             0.05483,            0.001253,           0.0088048,             0.49247,             0.13333,             0.50619,             0.13284,             0.18485,           0.0039471,            0.006855,           0.0011756,           0.0011756,           0.0011756
                  40,            0.053618,           0.0012558,           0.0084147,             0.47871,             0.10778,             0.20349,            0.069045,             0.18711,           0.0048232,           0.0070107,           0.0011598,           0.0011598,           0.0011598
                  41,            0.054082,           0.0012265,           0.0086487,             0.49106,              0.1226,             0.18635,            0.061323,             0.19009,            0.004736,           0.0066811,           0.0011438,           0.0011438,           0.0011438
                  42,            0.052019,           0.0011879,           0.0086009,             0.62035,            0.066667,             0.15774,            0.054343,             0.19123,           0.0041218,           0.0064865,           0.0011275,           0.0011275,           0.0011275
                  43,             0.05279,           0.0012133,           0.0086524,             0.62929,            0.066667,             0.17127,            0.072233,             0.19147,           0.0039134,           0.0066055,            0.001111,            0.001111,            0.001111
                  44,            0.053268,           0.0012227,           0.0085325,             0.62079,            0.066667,             0.12903,            0.041962,              0.1919,           0.0039015,           0.0061363,           0.0010942,           0.0010942,           0.0010942
                  45,            0.051971,           0.0012247,           0.0086555,             0.59614,            0.066667,              0.1211,            0.035938,             0.19235,           0.0037609,           0.0063995,           0.0010773,           0.0010773,           0.0010773
                  46,            0.051044,           0.0012219,           0.0085345,             0.60817,            0.066667,             0.13266,              0.0394,             0.19215,           0.0036591,           0.0061409,           0.0010602,           0.0010602,           0.0010602
                  47,            0.050842,           0.0011843,            0.008463,              0.6176,            0.066667,             0.16031,            0.060313,             0.19096,           0.0035794,           0.0060104,           0.0010428,           0.0010428,           0.0010428
                  48,            0.051435,           0.0012018,            0.008679,             0.61446,            0.066667,             0.13624,            0.054162,             0.19081,           0.0034887,           0.0057907,           0.0010253,           0.0010253,           0.0010253
                  49,            0.051608,           0.0011847,           0.0086171,             0.61596,            0.066667,             0.15421,            0.059573,             0.19047,           0.0034967,           0.0057632,           0.0010077,           0.0010077,           0.0010077
                  50,            0.050242,           0.0011741,           0.0085268,             0.61237,            0.066667,              0.1644,            0.064837,             0.18982,           0.0034953,            0.005706,          0.00098986,          0.00098986,          0.00098986
                  51,            0.050583,            0.001189,           0.0084393,             0.66667,             0.11741,             0.23324,             0.10219,             0.18921,           0.0035486,           0.0058365,          0.00097191,          0.00097191,          0.00097191
