               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069317,            0.019648,            0.029255,           0.0026288,                 0.6,            0.010492,           0.0063647,            0.029063,            0.007185,            0.007766,            0.070106,           0.0033215,           0.0033215
                   1,            0.051612,            0.012578,           0.0080765,           0.0030751,             0.66667,            0.024345,            0.009459,            0.029428,           0.0044553,           0.0055756,            0.040096,           0.0066447,           0.0066447
                   2,            0.047985,            0.010287,           0.0057561,            0.010522,                   1,            0.063593,             0.02908,            0.021725,           0.0052397,            0.005072,            0.010076,           0.0099578,           0.0099578
                   3,            0.040327,            0.008627,           0.0044872,             0.01321,                 0.6,            0.053231,            0.036995,            0.019165,           0.0062534,           0.0055584,           0.0099543,           0.0099543,           0.0099543
                   4,            0.034618,           0.0077944,           0.0035893,            0.054135,             0.26667,            0.073282,            0.037271,            0.021102,            0.006413,           0.0052105,           0.0099543,           0.0099543,           0.0099543
                   5,            0.030254,           0.0072873,           0.0026172,            0.023476,             0.22222,            0.029834,               0.011,            0.021012,           0.0069245,           0.0045021,           0.0099391,           0.0099391,           0.0099391
                   6,            0.029153,           0.0068304,           0.0023899,            0.011136,             0.33333,            0.020176,            0.010614,            0.024298,           0.0076456,           0.0049221,           0.0099238,           0.0099238,           0.0099238
                   7,            0.027467,           0.0065017,           0.0022013,              0.4269,             0.13333,             0.10424,             0.05003,            0.023672,           0.0076659,           0.0064499,           0.0099086,           0.0099086,           0.0099086
                   8,            0.025933,           0.0063721,           0.0021619,            0.012469,             0.33333,            0.036401,            0.030656,            0.023417,           0.0071891,           0.0063354,           0.0098934,           0.0098934,           0.0098934
                   9,             0.02501,           0.0061691,           0.0018443,             0.78674,             0.15556,             0.11102,            0.093087,            0.022618,           0.0071757,           0.0064751,           0.0098782,           0.0098782,           0.0098782
                  10,            0.023845,           0.0060266,           0.0016794,             0.04902,             0.33333,              0.2924,             0.23863,            0.020669,           0.0089003,           0.0066444,           0.0098629,           0.0098629,           0.0098629
                  11,            0.023236,           0.0058836,           0.0015145,             0.01847,                 0.4,            0.070851,            0.045101,            0.023032,           0.0061689,           0.0075989,           0.0098477,           0.0098477,           0.0098477
                  12,            0.022445,           0.0058338,           0.0015853,            0.042373,             0.33333,             0.15009,             0.10883,            0.021686,           0.0079405,           0.0083977,           0.0098325,           0.0098325,           0.0098325
                  13,            0.022258,           0.0058066,           0.0013741,             0.11628,             0.33333,             0.29829,             0.22082,            0.023643,           0.0084168,           0.0055367,           0.0098172,           0.0098172,           0.0098172
                  14,            0.020907,           0.0055364,            0.001463,            0.021459,             0.33333,            0.037723,            0.022286,            0.024116,           0.0079319,           0.0080292,            0.009802,            0.009802,            0.009802
                  15,            0.021262,           0.0056105,           0.0012657,            0.015674,             0.33333,            0.037439,            0.034708,            0.021773,            0.007743,           0.0084595,           0.0097868,           0.0097868,           0.0097868
                  16,            0.019917,           0.0054015,           0.0013043,                0.02,             0.33333,            0.045427,            0.033834,            0.022726,           0.0083219,           0.0071823,           0.0097715,           0.0097715,           0.0097715
                  17,            0.019941,           0.0054517,           0.0012396,             0.74735,             0.33333,             0.12094,             0.10904,            0.018509,           0.0070156,             0.01095,           0.0097563,           0.0097563,           0.0097563
                  18,            0.019063,           0.0052686,           0.0010068,             0.87363,             0.26667,             0.37624,             0.16125,            0.018012,           0.0073485,           0.0095535,           0.0097411,           0.0097411,           0.0097411
                  19,            0.018945,           0.0051784,           0.0010862,            0.013966,             0.33333,            0.077615,            0.068102,            0.018891,           0.0082925,            0.015244,           0.0097258,           0.0097258,           0.0097258
                  20,            0.018699,           0.0051613,           0.0012177,             0.00998,             0.33333,            0.026604,            0.018923,            0.019439,            0.010479,            0.015504,           0.0097106,           0.0097106,           0.0097106
                  21,            0.018393,           0.0051372,          0.00095936,            0.032448,             0.24444,            0.033638,            0.020656,            0.023842,            0.010055,             0.01577,           0.0096954,           0.0096954,           0.0096954
                  22,            0.017767,           0.0049756,          0.00084776,            0.071429,             0.33333,             0.19113,            0.066871,            0.023744,            0.010014,            0.012833,           0.0096802,           0.0096802,           0.0096802
                  23,            0.017914,           0.0049917,          0.00081637,            0.038462,             0.33333,             0.09945,            0.052285,            0.025159,           0.0093812,            0.022069,           0.0096649,           0.0096649,           0.0096649
                  24,             0.01678,           0.0048295,           0.0008221,            0.069444,             0.33333,             0.14967,            0.071771,            0.025355,           0.0089623,             0.01973,           0.0096497,           0.0096497,           0.0096497
                  25,            0.017122,           0.0049585,          0.00081174,            0.096154,             0.33333,              0.1771,             0.15806,            0.025616,           0.0091613,            0.020526,           0.0096345,           0.0096345,           0.0096345
                  26,            0.016933,           0.0047888,          0.00075082,            0.076923,             0.33333,             0.23767,              0.2368,            0.020409,           0.0068208,            0.021419,           0.0096192,           0.0096192,           0.0096192
                  27,            0.016266,            0.004792,          0.00080856,            0.025907,             0.33333,            0.049272,            0.045594,            0.021596,           0.0072155,            0.017084,            0.009604,            0.009604,            0.009604
                  28,            0.016505,           0.0047905,          0.00073583,            0.034722,             0.33333,             0.13012,             0.10781,            0.017664,           0.0072032,            0.026239,           0.0095888,           0.0095888,           0.0095888
                  29,            0.015575,           0.0046131,          0.00078818,            0.044248,             0.33333,             0.11879,            0.082411,            0.022037,           0.0072111,            0.020879,           0.0095735,           0.0095735,           0.0095735
                  30,            0.016447,           0.0047675,          0.00078325,             0.08642,             0.31111,             0.16157,             0.14506,             0.02304,           0.0079275,            0.022156,           0.0095583,           0.0095583,           0.0095583
                  31,            0.015875,           0.0046566,          0.00084959,            0.049645,             0.31111,            0.065249,            0.044253,            0.023288,           0.0075927,            0.023772,           0.0095431,           0.0095431,           0.0095431
                  32,            0.015985,           0.0048923,          0.00094114,            0.037879,             0.33333,             0.12619,            0.091191,            0.021739,           0.0070998,            0.020522,           0.0095278,           0.0095278,           0.0095278
                  33,            0.015821,           0.0047347,          0.00095895,            0.039683,             0.33333,             0.11818,            0.075919,              0.0183,           0.0083258,            0.026303,           0.0095126,           0.0095126,           0.0095126
                  34,            0.015587,           0.0046082,          0.00073768,             0.02418,             0.31111,             0.13539,             0.10181,            0.021661,           0.0061001,            0.025534,           0.0094974,           0.0094974,           0.0094974
                  35,            0.014813,           0.0045806,          0.00072271,            0.050725,             0.31111,            0.085588,            0.070439,            0.022393,           0.0076909,            0.022412,           0.0094822,           0.0094822,           0.0094822
                  36,            0.015531,           0.0047462,          0.00080764,            0.017986,             0.33333,            0.025915,            0.020884,            0.022144,           0.0084933,            0.023163,           0.0094669,           0.0094669,           0.0094669
                  37,             0.01519,           0.0046507,          0.00074307,            0.024038,             0.33333,            0.057421,            0.051496,            0.021691,            0.006795,            0.022215,           0.0094517,           0.0094517,           0.0094517
                  38,            0.014974,           0.0044888,          0.00065048,             0.01168,             0.28889,             0.01435,            0.012669,            0.023691,           0.0079175,            0.023332,           0.0094365,           0.0094365,           0.0094365
                  39,            0.015083,           0.0045925,          0.00059456,           0.0065531,             0.33333,            0.015606,           0.0099209,            0.017206,           0.0080892,             0.02699,           0.0094212,           0.0094212,           0.0094212
                  40,            0.015024,            0.004517,          0.00069075,             0.71324,             0.17778,            0.055902,            0.021378,            0.019631,            0.006112,            0.024417,            0.009406,            0.009406,            0.009406
                  41,            0.014672,            0.004518,          0.00072873,            0.013514,             0.33333,            0.055308,            0.018384,            0.018109,           0.0069018,            0.025626,           0.0093908,           0.0093908,           0.0093908
                  42,            0.014538,           0.0044119,          0.00062964,            0.070482,             0.13333,            0.069834,            0.017372,            0.019917,           0.0058157,            0.033069,           0.0093755,           0.0093755,           0.0093755
                  43,            0.014075,           0.0043492,          0.00065355,             0.05303,             0.31111,             0.22295,            0.068819,            0.021102,           0.0069304,            0.024806,           0.0093603,           0.0093603,           0.0093603
                  44,            0.014758,           0.0044156,          0.00068587,            0.041322,             0.33333,             0.23613,             0.18044,            0.019671,           0.0065658,            0.023236,           0.0093451,           0.0093451,           0.0093451
                  45,            0.014185,           0.0043538,          0.00068891,            0.028902,             0.33333,            0.095364,            0.045906,            0.021702,           0.0063473,            0.026981,           0.0093298,           0.0093298,           0.0093298
                  46,            0.014024,           0.0043674,          0.00069444,             0.05814,             0.33333,            0.085666,            0.055011,            0.022632,           0.0075182,            0.028317,           0.0093146,           0.0093146,           0.0093146
                  47,            0.013775,           0.0043533,          0.00063786,            0.071795,             0.31111,              0.1966,             0.12579,            0.023876,           0.0077492,            0.027759,           0.0092994,           0.0092994,           0.0092994
                  48,            0.013964,           0.0043731,          0.00060352,            0.023569,             0.31111,            0.073444,            0.036981,            0.019923,           0.0078256,             0.02916,           0.0092842,           0.0092842,           0.0092842
                  49,             0.01374,           0.0044129,          0.00065715,             0.03937,             0.33333,              0.0747,            0.045552,            0.022731,           0.0073702,            0.026587,           0.0092689,           0.0092689,           0.0092689
                  50,            0.013693,           0.0043701,          0.00052992,            0.028986,             0.17778,            0.028883,            0.016278,            0.023485,           0.0087559,            0.026331,           0.0092537,           0.0092537,           0.0092537
                  51,            0.013802,           0.0042087,           0.0006183,            0.071038,             0.28889,             0.20753,             0.19822,            0.018486,           0.0090322,            0.027328,           0.0092385,           0.0092385,           0.0092385
                  52,            0.013627,           0.0041696,          0.00056242,             0.02682,             0.31111,            0.034735,            0.034645,            0.024733,           0.0072622,            0.029233,           0.0092232,           0.0092232,           0.0092232
