               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063993,           0.0053917,            0.019987,            0.003418,             0.75556,             0.02091,            0.012272,            0.035692,           0.0023414,           0.0081848,             0.07013,           0.0033189,           0.0033189
                   1,            0.039513,           0.0036145,            0.010224,           0.0025884,             0.66667,             0.34483,            0.097071,            0.034755,           0.0026287,           0.0079431,             0.04009,           0.0066123,           0.0066123
                   2,            0.040588,           0.0028679,           0.0062267,           0.0029988,             0.66667,            0.016608,           0.0039709,            0.023093,           0.0047328,           0.0090692,             0.01001,           0.0098657,           0.0098657
                   3,            0.042201,           0.0025141,           0.0061853,           0.0022814,                 0.6,            0.012323,           0.0017068,            0.038736,           0.0030503,           0.0036639,             0.00982,             0.00982,             0.00982
                   4,            0.037567,           0.0023043,           0.0047417,             0.19114,             0.53933,             0.49372,             0.25096,            0.035056,           0.0032618,           0.0012758,             0.00982,             0.00982,             0.00982
                   5,            0.034579,           0.0019836,           0.0036417,                   0,                   0,                   0,                   0,            0.038979,           0.0034541,           0.0015971,             0.00976,             0.00976,             0.00976
                   6,            0.033054,           0.0018772,           0.0031469,           0.0014948,            0.066667,          0.00093366,          0.00018673,            0.038301,           0.0032788,           0.0015271,              0.0097,              0.0097,              0.0097
                   7,            0.031578,           0.0017614,           0.0031541,            0.080886,                 0.4,             0.14102,            0.052591,            0.036163,           0.0032374,          0.00099358,             0.00964,             0.00964,             0.00964
                   8,            0.031005,           0.0016717,           0.0033036,             0.20581,            0.066667,            0.086358,            0.036563,            0.032574,           0.0060967,           0.0071191,             0.00958,             0.00958,             0.00958
                   9,            0.030348,           0.0016413,           0.0028094,             0.66667,             0.12469,             0.13949,            0.041846,            0.039883,           0.0034079,           0.0017372,             0.00952,             0.00952,             0.00952
                  10,            0.028596,           0.0015417,           0.0023666,           0.0036993,             0.46667,           0.0050907,            0.003755,            0.036144,           0.0045296,           0.0012154,             0.00946,             0.00946,             0.00946
                  11,            0.028986,           0.0015241,           0.0026794,           0.0024067,             0.13333,            0.066443,            0.046594,            0.035447,           0.0049115,           0.0012936,              0.0094,              0.0094,              0.0094
                  12,            0.028831,           0.0014965,           0.0026704,           0.0015576,             0.33333,             0.02369,            0.018952,             0.03807,           0.0063018,           0.0033179,             0.00934,             0.00934,             0.00934
                  13,            0.028368,           0.0014872,           0.0024232,           0.0052489,             0.53333,            0.015314,           0.0088789,            0.032906,            0.004263,           0.0018031,             0.00928,             0.00928,             0.00928
                  14,             0.02781,            0.001441,           0.0022127,            0.019714,             0.53333,            0.061377,            0.032024,            0.038131,           0.0038528,           0.0013266,             0.00922,             0.00922,             0.00922
                  15,            0.026815,           0.0013921,           0.0019759,            0.023256,                 0.2,            0.050079,            0.021501,            0.033572,           0.0044808,           0.0010622,             0.00916,             0.00916,             0.00916
                  16,            0.027189,           0.0014069,           0.0023477,           0.0040821,             0.46667,            0.029783,            0.020977,            0.034434,           0.0054396,           0.0010018,              0.0091,              0.0091,              0.0091
                  17,            0.026633,           0.0013491,             0.00199,             0.35311,                 0.2,            0.047219,            0.038595,            0.033669,           0.0045332,           0.0019528,             0.00904,             0.00904,             0.00904
                  18,            0.026809,           0.0013154,           0.0018607,            0.019267,             0.53333,             0.05225,            0.036175,            0.038678,           0.0034063,           0.0024307,             0.00898,             0.00898,             0.00898
                  19,            0.026694,           0.0013317,           0.0020551,            0.019608,                 0.2,            0.040879,            0.015905,            0.036537,            0.004381,           0.0012758,             0.00892,             0.00892,             0.00892
                  20,             0.02667,           0.0012787,           0.0018356,            0.026144,             0.26667,            0.045588,            0.018118,            0.035993,           0.0033689,           0.0023936,             0.00886,             0.00886,             0.00886
                  21,            0.026319,           0.0012887,           0.0019238,            0.023016,             0.53333,             0.13379,            0.080341,            0.035124,           0.0034512,           0.0021204,              0.0088,              0.0088,              0.0088
                  22,            0.025418,           0.0012526,           0.0019482,            0.033771,             0.53333,             0.13913,            0.054356,            0.036448,           0.0030903,           0.0037738,             0.00874,             0.00874,             0.00874
